nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
3,3,20,251,48,22,706627140296,706627139752
2,1,21,576,42,22,706627140391,706627140846
\\x82\\x0c\\x8ep\\x8c\\x1c\\x82\\x0c\\,706627141602
2,2,21,575,42,22,706627141698,706627141948
\\x8e\\x0crp\\x8c\\x1c\\x80\\x0c\\x1c\\x92\\x8c\\x1cp\\x0c\\x8e\\xe0\\x0c\\x1c\\x8c\\xfc,706627143115,706627142886
2,3,21,592,42,22,706627143206,706627143658
\\x8e\\x0c\\x8ep\\x8c\\x1c\\x82\\x0c\\x1c\\x9e\\x8c\\x1cp\\x0c\\x8e\\xe2\\x0c\\\xd0#\xe55\x11\x07\xa9fg\x9*\x03\x83~\xe\x2\x0\xe7\xef/s\xe2\xe\xd4uA\x1,706627144811
3,7,20,374,49,22,706627146334,706627145939
2,5,20,448,42,22,706627146121,706627146575
\\x82\\x0c\\x8ep\\x8c\\x1c\\x82\\x0c\\x8e\\x8e\\x0c\\x8ep\\x0c\\x8e\\x8e\\x0c\\x1c\\x8c\\xfc,706627146762,706627147177
1,8,21,632,43,22,706627148369,706627148383
1,9,21,494,43,22,706627149477,706627149702
1,10,22,495,43,22,706627151058,706627150656
2,8,21,454,42,22,706627151346,706627151667
1,11,21,492,43,22,706627152192,706627152423
2,9,21,454,42,22,706627152953,706627153408
1,12,22,632,43,22,706627153901,706627154130
3,14,20,382,49,22,706627155388,706627154989
2,11,21,584,42,22,706627156069,706627156526
1,14,21,629,43,22,706627156916,706627157148
2,12,21,451,42,22,706627157377,706627157828
2,13,22,590,42,22,706627158584,706627159044
1,16,23,632,43,22,706627160518,706627160121
2,14,21,458,42,22,706627160092,706627160545
3,19,20,387,42,22,706627161299,706627161759
2,16,21,590,42,22,706627162306,706627162761
2,17,21,592,42,22,706627163314,706627163765
3,21,21,264,48,22,706627165242,706627164840
2,18,20,594,42,22,706627164821,706627165272
3,22,20,264,48,22,706627166849,706627166452
2,19,21,594,42,22,706627166629,706627167086
3,23,20,263,48,22,706627168558,706627168159
1,21,22,638,43,22,706627168378,706627168610
3,24,20,261,48,22,706627169665,706627169264
2,21,22,462,42,22,706627169245,706627169698
3,25,19,263,48,22,706627170973,706627170573
2,22,21,598,42,22,706627170853,706627171305
3,26,20,262,48,22,706627172481,706627171895
3,27,20,262,42,22,706627172761,706627173218
3,28,20,389,48,22,706627174\x8\xf9\xf5,706627174493
1,25,22,636,43,22,706627174817,706627175042
3,30,20,387,48,22,706627177010,706627176610
2,26,21,601,42,22,706627176584,706627177038
3,31,20,264,48,22,706627178017,706627177619
2,27,21,467,42,22,706627177691,706627178144
1,27,21,641,43,22,706627178434,706627178663
3,32,21,390,48,22,706627179825,706627179424
2,28,21,468,42,22,706627179499,706627179951
\xac\x6\x87l3*2?\x96\n\xa5;QBc*\x8a\x9c\xe\xa1q\x12\x7\x00;gd\x87p\x82\xc0&L\x8e,706627180631
3,29,23,602,42,22,706627181508,706627181960
2,30,22,475,42,22,706627182515,706627182968
1,30,22,508,43,22,706627183557,706627183784
2,31,22,608,42,22,706627183922,706627184377
\1,31,22,507,43\xac8\xe\xa5`u\x04\xc4\xa0..~\x0$k\x0\x9f7,706627185397
3,36,20,272,48,22,706627186457,706627186056
2,33,20,608,42,22,706627186037,706627186489
3,37,20,270,48,22,706627187664,706627187263
1,33,21,507,43,22,706627187480,706627187706
2,34,21,474,42,22,706627187745,706627188197
3,38,20,274,48,22,706627189072,706627188675
2,35,22,608,42,22,706627188952,706627189408
3,39,21,411,48,22,706627190278,706627189874
2,36,22,612,42,22,706627190460,706627190914
1,36,21,510,43,22,706627192504,706627192523
1,37,20,505,43,22,706627193511,706627193736
2,38,21,474,42,22,706627193876,706627194329
1,38,21,643,43,22,706627195421,706627195650
1,39,21,647,43,22,706627196528,706627196756
2,40,22,607,42,22,706627197192,706627197650
2,41,21,475,42,22,706627198800,706627199250
3,45,21,272,48,22,706627200126,706627199726
2,42,21,470,42,22,706627199909,706627200363
3,46,20,277,48,22,706627201234,706627200829
2,43,21,607,42,22,706627201015,706627201468
