nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
3,2,21,336,44,23,706631632373,706631632883
2,2,22,662,39,22,706631633056,706631633395
3,3,22,337,44,23,706631633879,706631634387
2,3,23,647,39,22,706631634864,706631635192
3,4,22,134,44,23,70\x16P\xd\x93\x9cs\x8a\xe2\x1ag,706631636403
2,5,22,412,39,22,706631637680,706631638010
\\x8e\\x0crp\\x8c\\x1c\\x8c\\x0cp\\x8c\\x8c\\x1cp\\x0c\\x8e\\x90\\x0c\\x1c\\x8e\\xfc,706631637900,706631638575
2,6,21,369,39,22,706631639188,706631639522
2,7,21,428,39,22,706631640195,706631640528
3,7,22,92,44,23,706631641017,706631641517
3,8,21,99,44,23,706631642026,706631642525
3,9,21,150,44,23,706631643133,706631643633
2,10,22,451,39,22,706631644318,706631644649
3,10,22,189,44,23,706631644641,706631645144
2,11,23,469,39,22,706631645626,706631645960
3,11,22,363,44,23,706631645948,706631646449
3,12,21,324,44,23,7\xc0(\x92VB8\xf\x15\xa5\x99,706631647458
3,13,21,336,44,23,706631648063,706631648562
3,14,21,487,44,23,706631649270,706631649771
5,1,22,307,45,21,706631649955,706631650574
\\x9c\\x\xf0\xa9\xa8<P\x95e\x98i\xecs\xa1\x0fSWe\xe2N\xe1\xdq\x87^A\x1aN9\xfaNp\\\xa0\xe2\xde\xda!G2\xa8t\xf3i\x8a\rH>\xd8\xee\xe1V\x3w3cR^x1c\\x8c\\xfc,706631650820,706631651269
2,16,20c9p\\x8c\\x1c\\x8e\\x0cr\\x90L\\x0c\\x1c\\xe2\\x0c\\x1c\\x8e\\xfc,706631651743,706631652020
5,2,23,445,45,21,706631651963,706631652577
7,1,24,92,40,22,706631652807,706631653194
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8c\\x0cp\\x82\\x8c\\x1cp\\xcc\\x1c\\xe2\\x0c\\x1c\\x8e\\xfc,706631653354,706631653650
5,3,22,417,45,21,706631653971,706631654584
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8c\\x0c\\x8e\\x8c\\xcc\\x8ep\\xcc\\x1c\\xe2\\x0c\\x1c\\x8e\\xfc,706631654966,706631655274
2@\x9eAWu\x828\\PRV\xe6\x97;\xd2\xc1\x7fU\xe4\x97\xa3\x12\xe4\x0f\xc0\xd6\xd2\xc7hE\x9f\xf7,706631655809
5,4,23,183,45,21,706631655979,706631656594
\\x9c\\x0crp\\x8c\\x1c\\x8c\\x0c\\x1c,706631657322
5,5,22,403,45,21,706631657988,706631658414
2,20,21,591,39,22,706631658696,706631659027
1,6,22,762,39,23,706631659392,706631659520
\7,6,23,221,40,\x12\x90\t\x8e\x7\xc0\xf3?&7\x9\xd6\x0\x89,z,706631660532
2,21,22,725,39,22,706631660704,706631661032
7,7,24,221,40,22,706631661154,706631661543
2,22,22,732,39,22,706631661712,706631661858
5,7,22,478,45,21,706631662004,706631662619
6,9,23,482,45,22,706631662792,706631663069
4,10,21,184,43,21,706631662993,706631663671
5,8,22,505,40,22,706631663970,706631664358
6,10,23,484,44,22,706631664500,706631664773
2,24,23,588,39,22,706631665028,706631665358
4,12,22,180,43,21,706631665007,706631665684
1,10,21,763,39,23,7p\xc\x965m\xc\xe7v!1=,706631666256
7,11,23,234,40,22,706631666685,706631667074
2,26,21,731,39,22,706631667243,706631667576
5,26,20,414,44,23,7\x95`,\xad\x055\xae[<\xf6,706631668365
7,12,23,237,40,22,706631668694,706631669080
2,27,20,732,39,22,706631669051,706631669380
1,13,22,625,39,23,706631670047,706631670174
7,13,24,121,40,22,7\xf0\xee\xdcV\xf1\xac\xf79\x91\x95^,706631670604
4,17,2\x2\xe0\x97;\x01z\xc8\x80J\x8f\nW\xe4\x08\xdd%\x14^\x17\x01671354,706631671487
2,29,20,582,39,22,706631672467,706631672612
7,15,23,225,40,22,706631672716,706631673107
4,19,22,192,43,21,706631673059,706631673732
7,16,23,115,40,22,706631673824,706631674210
5,13,23,491,45,21,706631674054,706631674669
3,31,21,390,44,23,7`\xc\x96\x7f\xe7\xac\xd<!}W,706631675605
6,17,22,447,44,22,706631675755,706631676028
1,18,23,623,40,23,706631676062,706631676683
6,18,22,450,44L\x4\x6cp\xe1\x15\x97\xa0\x8e6#qt\x01\x8e\x9f#,706631677535
5,15,22,398,46,22,706631678071,706631678687
2,33,23,724,39,22,706631678798,706631679126
6,20,22,336,44,22,706631679478,706631679756
2,34,22,588,39,22,706631679905,706631680231
5,16,22,534,46,22,706631680079,706631680694
6,21,22,470,44,22,706631681186,706631681457
1,21,22,775,40,23,706631682209,706631682136
5,17,23,547,46,22,706631682087,706631682701
2,36,22,737,39,22,706631682821,706631683148
B#4\xac\x1a\x0cV\x6d8\x11i\xqT\x0e\x18$<g3\xd2\x84\x9\xf3x\xa3\x5C\xdd\xea\nn\xd,706631683802
6,23,23,498,46,22,706631684096,706631684711
3,37,21,435,44,23,706631684952,706631685263
4,30,22,183,43,21,706631685140,706631685817
7,24,24,305,40,22,706631685986,706631686371
2,39,21,750,39,22,706631686644,706631686972
1,24,22,632,39,23,706631687333,706631687460
7,25,24,189,40,22,706631687995,706631688179
5,20,22,568,46,22,706631688113,706631688726
2,41,21,747,39,23,706631689459,706631689792
7,26,23,189,40,0x\x8\x8cM\xc3\xfd%66#1690003,706631690392
4,36,22,72,42,21,7066316911h\xa1,706631691707
5,22,22,442,46,22,706631692174,706631692503
6,28,23,491,44,22,706631692742,706631693016
3,42,21,438,44,23,706631693692,706631694010
4,39,22,182,43,21,706631694205,706631694752
2,45,22,749,39,23,706631694889,706631695220
3,43,21,424,44,23,706631695GW\x14,706631696200
3,44,22,448,44,23,706631697008,706631697507
1,30,22,781,39,23,706631697681,706631697809
2,47,20,617,39,23,706631697805,706631698131
5,25,23,458,45,22,706631698154,706631698767
4,43,21,188,43,22,706631699235,706631699914
1,32,24,349,TV\xc:\x2,706631699\xa8<\x9,706631700242
3,Tvf\x4\xad\x0\x\x7f85\xa4$\xed\xac\xd\xe7J\x7paq]\x8d\xc1\xdcKx\xfa\x9a\x03\xe7,706631700723
7,33,22,348,40,22,706631701158,706631701543
6,34,21,417,44,22,706631701788,706631702064
4,46,22,107,43,22,706631702256,706631702790
6,35,22,418,44,22,706631703396,706631703539
2,51,22,627,39,23,706631703736,706631704064
7,35,24,228,40,22,706631704774,706631704954
4,49,22,110,43,22,706631705\x82\x7f\x94,706631705960
5,29,23,468,45,22,706631706187,706631706802
1,37,23,650,39,23,706631707435,706631707561
1,38,22,792,39,23,706631708542,706631708668
3,51,21,443,44,23,706631708663,706631709161
1,39,21,790,39,23,706631709750,706631709876
7,38,23,252,40,22,706631710098,706631710484
2,56,22,635,39,23,706631710874,706631710992
1,40,22,792,39,23,706631711458,706631711586
3,53,22,463,44,22,706631711743,706631712020
4,55,21,189,43,22,706631712322,706631712831
1,41,21,644,39,23,706631713366,706631713492
4,56,22,187,43,22,706631713330,706631714002
1,42,23,790,39,23,706631714373,706631714500
2,59,21,630,39,23,706631715398,706631715507
\xf2LH\xa560,21,770,39,23,706631716407,706631716736
3,57,21,462,44,23,706631717510,706631718011
7,43,24,358,39,22,70663q?\x7\x3I\xf1\xaf,706631718323
6,45,22,408,44,22,7`\xcPwg\x05q417=,706631718747
7,44,23,349,39,22,70663\x1\x7\x151\x1\xac,706631719931
6,46,22,401,44,22,706631720082,706631720356
5,36,22,607,45,22,706631720245,706631720857
3,59,21,440,44,23,706631720926,706631721431
1,47,21,649,39,23,706631721812,706631721943
3,60,21,462,44,23,706631v7&;\x\x6,706631722730
4,65,21,118$\x4\x3\xdc\xed\x06v\xf0\x92\xf8\x82\xfc4\xf0n\x86e\x0c\xdf\xca\x12\x82,706631724073
2,65,22,636,39,23,706631724244,706631724570
4,66,22,112,43,22,706631724403,706631725081
1,50,23,649,39,23,706631725534,706631725661
4,67,22,187,43,22,706631725410,706631726087
5,39,22,603,45,22,706631726269,706631726685
3,63,21,464,44,23,706631726857,706631727358
