nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
4,1,23,149,43,24,706636676156,706636676860
7,1,24,129,42,23,706636676662,706636677347
5,2,23,391,46,24,706636676901,706636677854
4,3,23,132,43,24,706636678171,706636678882
7,2,25,129,42,23,706636678670,706636679354
5,3,23,274,46,24,706636678909,706636679863
6,4,23,147,45,24,706636679906,706636680528
7,3,23,130,42,23,706636680178,706636680857
5,4,22,276,46,24,706636680916,706636681865
4,7,23,149,43,24,7066366821990L\\x0c\\x8e\\x92\\x0c\\x1c\\x90\\xfc,706636681919,706636682691
7,5,25,130,42,23,\xa8?\x0n*\x7\xf3\x06800\x0c\r,706636683774
6,6,24,261,45,24,706636683826,706636684446
6,7,22,152,45,24,706636684934,706636685551
6,8,22,261,45,24,706636686141,706636686765
7,8,23,133,42,24,706636687517,706636688201
4,12,23,168,43,24,706636688237,706636688940
7,9,24,134,42,24,706636688825,706636689503
7,10,23,134,42,24,706636689933,706636690613
7,11,24,133,42,24,706636690940,706636691486
6,12,22,164,44,24,706636691872,706636692495
4,16,23,137,43,24,706636692267,706636692970
6,13,22,164,44,24,706636\x6q7\xa1\x8aj,706636693800
7,13,23,134,42,24,706636693856,706636694539
2\xe6\xfc\xc86\xc\xa08\x5q\xc6k(\x02\t\x91\x9\t\xc\x2|L\x1f\tD\x96~\x87\xa9`\x05\x99\xe2\xc1,\xf9\r\xf3\xf5\x19\x9f\xa9&\xd6\xc0\xe0\xec{\x01(\x9Y892\\xc\xe2\\x\x1c?80\xf5^x\xaecG*\r3W\xf06606<95H5u,706636696027
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8e\\x0c\\x,706636696819
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8e\\x0c\\x8e\\x90L\\x0c\\x8e\\x92\\x0c\\x1c\\x8e\\xfc,7066366969<:,706636697125
6,16,23,167,44,24,706636697804,706636698423
\\x82\\x\x90u\xa2\xfa(2\x1c\xda:\xd8\x1c\xc5\xf4\xc9i\x16\xd9\x1a`\x04\xc\xdeL\xf4B\xde~\xd7\xc5\x8a\xf8}\x86a\xe1;\xca#\xecx\x01\x17y=8\x5I\xe8\n18~0c\x9c\x9a\x4c\xd6p\x83\x9\x1d\x0fQj\xf7\xcc%\x83q\x84\xaaCTg\x9\xd0\x16\xf2\x8c,706636699145
\\x8e\\x0c\\\xf82\xe1\x0\x8c\xc7\x02frJ\x81\xd0\x1e\xda\x9e;\xcf%\xaf2\xa2cm:\xd5\xf5\xcc4\xd4\x2\xdz\xfa\x911\xc8\xcm\xd7\x8c%\xc4x7PW\xd22\x90\x5\x05\x03\xc2n\x83\x1e\xf\xf4\xdc/\xe0:\x16\x91\xd7\x5\x8f\x12(J7ff\xaa\xe8\xcd=,706636700005
\\x8e\\x0crp\\x8c\\x1c\\x8c\\x0c\\x1c\\x82\\x0c\\x0cr\\x8c\\x0c\\x1c\\x8e\\xfc,706636699978,706636700998
5,14,23,403,46,24,706636701000,706636701739
2,3,23,749,45,23,706636701693,706636702338
6,19,24,164,44,24,706636702228,706636702651
2,4,23,484,45,23,706636703000,706636703481
5,15,23,404,46,24,706636703009,706636703959
6,20,23,168,44,24,706636704236,706636704649
1,7,23,515,45,23,706636705216,706636705464
5,16,23,287,46,24,706636705017,706636705967
2,6,22,482,45,23,706636705616,706636706258
6,21,22,281,45,24,706636706144,706636706761
\xe7\xfdn4\xa9\xf2p\x85\x83r\xad.\xe3Q\x8\x9a\x10j\xea\x0e\xd\xe4U\x9f\xa0\x94\xa5\xd7A2\xc3\xe2M,706636707219
5,17,24,285,46,24,706636707026,706636707976
2,8,21,615,45,23,706636707831,706636708476
