nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
1,2,22,65535,38,23,706484115659,706484116541
2,1,22,0,41,21,706484118292,706484118354
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8c\\x0c\\x8e\\x92L\\x8e\\x8eL\\x8ep\\xcc\\x1c\\xe0\\x0c\\x1c\\x8e\\xfc,706484126182,706484127272
2,2,22,0,41,21,706484128810,706484128868
3,1,21,0,47,21,706484129178,706484129430
1,4,22,65535,37,23,706484136699,706484137578
2,3,22,0,41,21,706484139328,706484139383
3,2,21,65535,47,21,706484139696,706484139960
1,5,22,65535,38,23,706484147216,706484148097
2,4,22,65535,41,21,706484149845,706484149915
3,3,21,0,47,21,706484150212,706484150463
1,6,22,65535,37,23,706484157735,706484158621
2,5,22,0,42,21,706484160362,706484160419
3,4,21,0,47,21,706484160730,706484160981
1,7,22,0,37,23,706484168253,706484169118
2,6,22,0,41,21,706484170879,706484170936
3,5,21,65535,47,21,706484171249,706484171514
1,8,22,65535,37,23,706484178771,706484179649
2,7,22,0,41,21,706484181396,706484181453
3,6,21,0,47,21,706484181765,706484182015
1,9,22,0,37,23,706484189289,706484190155
2,8,22,0,41,21,706484191913,706484191972
3,7,21,0,47,21,706484192282,706484192529
1,10,22,65280,37,23,706484199808,706484200704
2,9,22,0,41,21,706484202430,706484202484
3,8,21,65535,47,21,706484202800,706484203060
1,11,22,65535,37,23,706484210326,706484211216
2,10,22,0,41,21,706484212947,706484213010
3,9,21,65535,47,21,706484213317,706484213583
1,12,22,0,37,23,706484220844,706484221720
2,11,22,0,41,21,706484223463,706484223533
3,10,21,0,47,21,706484223835,706484224096
\\x82\\x0cp\\x8e\\x0c\\x1c\\x8c\\x0c\\x8e\\x92L\\x8e\\x8eL\\x8ep\\xcc\\x1c\\x9e\\x0c\\x1c\\x8e\\xfc,706484231368,706484232452
2,12,22,65535,41,21,706484233981,706484234058
3,11,21,65535,47,21,706484234353,706484234623
1,14,22,65535,37,23,706484241885,706484242777
2,13,22,65535,41,21,706484244498,706484244576
3,12,21,0,47,21,706484244870,706484245132
1,15,22,0,37,23,706484252403,706484253278
2,14,22,65535,41,21,706484255016,706484255093
3,13,21,0,47,21,706484255388,706484255646
1,16,22,0,37,23,706484262923,706484263798
2,15,22,0,41,21,706484265533,706484265600
3,14,21,65535,47,21,706484265906,706484266176
1,17,22,65535,37,23,706484273440,706484274334
2,16,22,65535,41,21,706484276051,706484276130
3,15,21,65535,47,21,706484276423,706484276690
1,18,22,65535,37,23,706484283959,706484284846
2,17,22,0,41,21,706484286568,706484286632
3,16,21,0,46,21,706484286941,706484287201
1,19,22,0,37,23,706484294476,706484295349
2,18,22,65535,41,21,706484297087,706484297161
3,17,21,65535,46,21,706484297458,706484297729
1,20,22,0,37,23,706484304993,706484305870
2,19,22,65535,41,21,706484307604,706484307680
3,18,21,65535,46,21,706484307976,706484308244
1,21,22,65535,37,23,706484315512,706484316402
2,20,22,0,40,21,706484318121,706484318183
3,19,21,65535,46,21,706484318493,706484318773
1,22,22,65535,37,23,706484326030,706484326914
2,21,22,65535,40,21,706484328639,706484328718
3,20,21,65535,46,21,706484329011,706484329279
1,23,22,65535,37,23,706484336548,706484337433
2,22,22,0,40,21,706484339156,706484339221
3,21,21,0,46,21,706484339528,706484339794
1,24,22,65535,37,23,706484347067,706484347958
2,23,22,0,40,21,706484349674,706484349736
3,22,21,0,46,21,706484350045,706484350300
1,25,22,65535,37,23,706484357585,706484358470
2,24,22,0,40,21,706484360191,706484360254
3,23,21,0,46,21,706484360563,706484360819
1,26,22,0,37,23,706484368103,706484368974
2,25,22,65535,40,21,706484370709,706484370786
3,24,21,0,46,21,706484371080,706484371338
1,27,22,0,37,23,706484378621,706484379495
2,26,22,65535,40,21,706484381226,706484381298
3,25,21,65535,46,21,706484381599,706484381864
1,28,22,65535,37,23,706484389140,706484390031
2,27,22,0,40,21,706484391741,706484391800
3,26,21,0,46,21,706484392116,706484392376
1,29,22,65535,37,23,706484399658,706484400540
