nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
1,2,21,176,48,22,706558002534,706558003294
\\x82\\x0c\\x1cp\\x8c\\x1c\\x8c\\x0cp\\x9e\\x0c\\x8ep\\x0c\\x8e\\xe0\\x0c\\x1c\\x8c\\xfc,706558004047,706558004979
\\x82\\x0c\\x8ep\\x8c\\x1c\\x80\\x0c\\x8e\\x82\\x0c\\x8e\\xe0\\x0c\\x1c\\x8c\\xfc,706558005558,706558006470
2,1,21,104,49,22,706558007208,706558007204
3,1,21,131,54,22,706558009751,706558009817
1,5,21,181,48,22,706558016075,706558016834
2,2,20,103,48,22,706558017725,706558017723
3,2,21,115,54,22,706558020269,706558020331
1,6,21,184,48,22,706558026591,706558027348
2,3,21,188,48,22,706558028241,706558028243
3,3,20,114,54,22,706558030788,706558030857
\\x82\\x0c\\x8ep\\x8c\\x1c\\x8c\\x0c\\x8e\\x9c\\x0c\\x8e\\xe0\\x0c\\x1c\\x8c\\xfc,706558037112,706558038026
2,4,20,101,48,22,706558038758,706558038753
3,4,21,114,54,22,706558041307,706558041373
1,8,21,189,48,22,706558047629,706558048383
2,5,21,189,48,22,706558049276,706558049278
3,5,21,127,54,22,706558051825,706558051893
1,9,22,188,48,22,706558058146,706558058906
2,6,21,117,48,22,706558059793,706558059786
3,6,21,126,54,22,706558062344,706558062408
1,10,21,74,48,22,706558068664,706558069418
2,7,21,116,48,22,706558070311,706558070305
3,7,21,112,54,22,706558072862,706558072930
1,11,21,199,47,22,706558079181,706558079935
2,8,21,115,48,22,706558080830,706558080827
3,8,21,111,54,22,706558083380,706558083443
1,12,22,165,47,22,706558089698,706558090455
2,9,21,109,48,22,706558091346,706558091339
3,9,21,111,54,22,706558093898,706558093962
1,13,22,161,47,22,706558100216,706558100971
2,10,21,107,48,22,706558101864,706558101858
3,10,21,125,54,22,706558104417,706558104480
1,14,22,196,47,22,706558110733,706558111489
2,11,22,187,48,22,706558112381,706558112374
3,11,20,109,53,22,706558114935,706558115004
1,15,22,156,47,22,706558121250,706558122003
2,12,22,186,48,22,706558122899,706558122897
3,12,21,124,53,22,706558125453,706558125516
1,16,22,194,47,22,706558131766,706558132524
2,13,21,186,48,22,706558133416,706558133408
3,13,21,123,53,22,706558135971,706558136033
\\x82\\x0cp\\x9e\\x0c\\x1c\\x8c\\x0cp\\xe2L\\x8ep\\x0c\\x8e\\x9e\\x0c\\x1c\\x8c\\xfc,706558142288,706558143213
3,14,20,107,53,22,706558146490,706558146557
1,18,22,195,47,22,706558152804,706558153554
2,14,20,88,47,22,706558154445,706558154441
3,15,21,107,53,22,706558157008,706558157070
1,19,22,158,47,22,706558163321,706558164077
2,15,21,185,47,22,706558164963,706558164955
3,16,21,105,53,22,706558167526,706558167589
1,20,21,197,47,22,706558173838,706558174588
2,16,21,185,47,22,706558175480,706558175472
3,17,20,105,53,22,706558178045,706558178106
1,21,21,198,47,23,706558184355,706558185105
2,17,22,97,47,22,706558185998,706558185991
3,18,21,119,53,22,706558188563,706558188627
1,22,22,180,46,23,706558194873,706558195622
2,18,22,96,47,22,706558196515,706558196507
3,19,20,105,53,22,706558199081,706558199143
1,23,22,187,46,23,706558205390,706558206146
2,19,22,102,47,22,706558207033,706558207029
3,20,20,120,53,22,706558209600,706558209659
1,24,23,81,46,23,706558215907,706558216655
2,20,21,187,47,22,706558217550,706558217539
2,21,21,187,47,22,706558219058,706558219055
3,21,21,120,52,22,706558220118,706558220183
1,25,21,87,46,23,706558226425,706558227173
3,22,21,105,52,22,706558230636,706558230696
1,26,21,94,46,23,706558236944,706558237697
2,22,20,107,46,22,706558238586,706558238576
3,23,20,106,52,22,706558241155,706558241215
1,27,22,208,46,23,706558247460,706558248208
2,23,21,111,46,22,706558249103,706558249092
3,24,21,106,52,22,706558251672,706558251733
1,28,21,214,45,23,706558257977,706558258725
2,24,22,110,46,22,706558259623,706558259618
3,25,20,108,52,22,706558262191,706558262255
1,29,21,224,45,23,706558268494,706558269243
3,26,21,110,52,23,706558272709,706558272768
1,30,22,122,45,23,706558279012,706558279764
2,25,21,191,46,22,706558280650,706558280639
