nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
2,1,21,1383,40,23,706454251265,706454252289
\\x8e\\x0cpp\\x8c\\x1c\\x82\\x0c\\x8e\\xe0L\\x8ep\\x0c\\x8e\\x8e\\x0c\\x1c\\x90\\xfc,706454252225,706454253670
4,1,21,462,33,25,706454254940,706454256001
5,1,23,1061,36,25,706454256261,706454257621
1,3,20,1094,41,23,706454261212,706454262013
2,2,20,1372,40,23,706454261783,706454262807
3,2,22,547,43,24,706454262742,706454264014
4,2,21,4w2$33,25,70645426\x954<0,706454266522
5,2,23,735,36,25,706454266778,706454268142
1,4,21,745,41,23,706454271729,706454272528
2,3,21,1275,40,23,706454272301,706454273319
3,3,21,652,44,24,706454273259,706454274532
4,3,v2,512,34,25,706454275976,706454277036
5,3,21,969,36,25,706454277296,706454278653
\\x82\\x0crp\\x8c\\x1c\\x8e\\x0c\\x8e\\x90L\\x0c\\x8e\\x82\\x0c\\x1c\\x8e\\xfc,706454282251,706454283206
2,4,21,1300,40,23,706454282818,706454283839
\\x8e\\x0c\\x8ep\\x8c\\x1c\\x82\\x0cr\\x8c\\x0c\\x8ep\\x0c\\x8e\\x90\\x0c\\x1c\\x90\\xfc,706454283781,706454285227
4,4,22,502,34,25,706454286493,706454287559
5,4,23,958,37,25,706454287813,706454289171
1,6,23,740,41,23,706454292768,706454293566
2,5,21,1250,40,23,706454293336,706454294361
3,5,22,508,44,24,706454294297,706454295568
4,5,20,470,34,25,706454297011,706454298070
5,5,23,933,37,25,706454298330,706454299693
1,7,22,740,41,23,706454303285,706454304089
2,6,22,1241,41,23,706454303853,706454304872
3,6,22,508,44,24,706454304814,706454306092
4,6,20,770,34,\x2\xeco\xf1%706454307529,706454308594
5,6,23,930,36,25,706454308848,706454310205
1,8,22,1025,41,23,706454313803,706454314600
2,7,22,1252,40,23,706454314371,706454315389
3,7,21,644,44,24,706454315332,706454316602
4,7,21,456,34,25,706454318047,706454319108
5,7,24,708,37,25,706454319364,706454320722
1,9,21,740,41,23,706454324320,706454325118
2,8,21,891,41,23,706454324888,706454325911
3,8,21,647,44,24,706454325849,706454327126
4,8,22,470,34,25,706454328565,706454329626
5,8,22,925,37,25,706454329882,706454331239
1,10,23,1025,41,23,706454334836,706454335642
2,9,21,883,41,23,706454335405,706454336426
3,9,20,648,44,24,706454336366,706454337635
\xc28\xac\xa9&\xe0\x1cT\x946,V8,26\xe7,p$9\xa64v430u0h1,706454340145
5,9,23,925,37,25,706454340399,706454341756
1,11,21,741,41,23,706454345353,706454346149
2,10,20,883,41,23,706454345923,706454346944
3,10,21,647,44,24,706454346883,706454348155
4,10,23,460,34,25,706454349601,706454350665
5,10,23,695,36,25,706454350917,706454352275
1,12,20,1022,41,23,706454355871,706454356670
2,11,21,875,41,23,706454356441,706454357460
3,11,21,509,44,24,706454357401,706454358674
4,11,20,441,34,25,706454360119,706454361182
5,11,23,911,36,25,706454361434,706454362791
1,13,22,743,41,23,706454366388,706454367186
2,12,21,1250,40,23,706454366958,706454367983
3,12,21,514,44,24,706454367918,706454369187
4,12,20,455,34,25,706454370637,706454371699
5,12,21,705,36,25,706454371950,706454373310
1,14,22,1016,41,23,706454376904,706454377705
2,13,22,900,40,23,706454377476,706454378494
3,13,21,644,44,24,706454378436,706454379709
4,13,21,609,34,25,706454381155,706454382217
5,13,23,705,36,25,706454382468,706454383824
1,15,23,1027,40,23,706454387422,706454388220
2,14,21,900,40,23,706454387994,706454389012
3,14,21,510,44,24,706454388953,706454390224
4,14,22,449,34,25,706454391673,706454392734
5,14,23,916,36,25,706454392986,706454394339
1,16,22,743,40,23,706454397939,706454398735
2,15,21,1258,40,23,706454398512,706454399534
3,15,20,515,44,24,706454399472,706454400747
4,15,20,500,34,25,706454402190,706454403249
5,15,23,712,36,25,706454403504,706454404863
1,17,22,748,40,23,706454408457,706454409257
2,16,22,1300,40,23,706454409029,706454410047
3,16,21,522,44,24,706454409989,706454411259
4,16,22,508,34,25,706454412708,706454413777
5,16,23,722,36,25,706454414021,706454415374
1,18,21,1050,40,23,706454418975,706454419769
2,17,22,1305,40,23,706454419546,706454420567
3,17,21,665,44,24,706454420507,706454421776
5,17,23,728,36,25,706454424538,706454425897
1,19,23,757,40,23,706454429492,706454430288
2,18,21,966,40,23,706454430064,706454431082
3,18,21,536,44,24,706454431024,706454432297
4,18,23,414,34,25,706454433744,706454434806
5,18,23,1019,36,25,706454435056,706454436411
1,20,21,751,40,23,706454440009,706454440807
2,19,22,950,40,23,706454440581,706454441601
3,19,21,667,44,24,706454441541,706454442811
\x07\x14.39,22,505,34,25,706454444262,706454445323
5,19,23,991,36,25,706454445572,706454446930
1,21,20,756,40,24,706454450527,706454451323
2,20,21,966,40,23,706454451098,706454452115
3,20,22,543,44,24,706454452059,706454453328
4,20,21,564,34,25,706454454780,706454455842
5,20,22,1044,36,26,706454456090,706454457442
\\x82\\x0c\\x1c\\x8c\\x0c\\x1c\\x80\\x0c\\x8e\\x92\\x8c\\x8ep\\x0c\\x8e\\x80\\x0c\\x1c\\x90\\xfc,706454461048,706454462040
2,21,21,983,40,23,706454461616,706454462633
3,21,21,541,44,24,706454462576,706454463845
4,21,21,527,34,25,706454465298,706454466360
5,21,23,997,36,26,706454466607,706454467959
1,23,20,747,40,24,706454471565,706454472359
2,22,21,1305,40,23,706454472134,706454473154
3,22,21,530,44,24,706454473095,706454474368
gp(22,23,511,34,25,706454475816,706454476878
5,22,23,725,36,26,706454477125,706454478478
1,24,23,1041,39,24,706454482082,706454482878
2,23,22,1300,39,23,706454482651,706454483666
3,23,21,667,44,24,706454483611,706454484881
4,23,21,501,34,25,706454486335,706454487396
5,23,22,720,36,26,706454487642,706454488996
1,25,22,744,39,24,706454492599,706454493391
2,24,21,908,39,23,706454493168,706454494184
3,24,21,520,44,24,706454494129,706454495395
4,24,22,496,34,25,706454496851,706454497914
5,24,23,966,36,26,706454498160,706454499514
1,26,21,741,39,24,706454503117,706454503909
2,25,22,936,39,23,706454503686,706454504702
3,25,22,527,44,24,706454504646,706454505916
4,25,21,478,34,25,706454507370,706454508432
5,25,23,975,36,26,706454508677,706454510029
\\x82\\x0c\\x1c\\x9e\\x0c\\x1c\\x8e\\x0c\\x8e\\x90\\x8c\\x1cp\\xcc\\x1c\\xe2\\x0c\\x1c\\x90\\xfc,706454513639,706454514628
2,26,22,913,39,23,706454514202,706454515218
3,26,21,520,44,24,706454515164,706454516430
4,\x2\x6$21,487,34,25,706454517888,706454518950
5,26,23,969,36,26,706454519193,706454520548
1,28,23,1016,39,24,706454524155,706454524952
2,27,21,1252,39,23,706454524720,706454525737
3,27,22,515,44,24,706454525681,706454526947
