nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
2,1,20,114,46,20,706541300267,706541300564
1,5,21,182,48,20,706541309116,706541309189
2,2,20,108,46,20,706541310785,706541311074
\\x8e\\x0cpp\\x8c\\x1c\\x82\\x0cp\\x82L\\x0cr\\x8c\\x0c\\x1c\\x80\\xfc,706541312156,706541312832
\\x82\\x0c\\x8ep\\x8c\\x1c\\x82\\x0cp\\xe2\\x0c\\x0c\\x8e\\xe0\\x0c\\x1c\\x80\\xfc,706541319637,706541319874
2,3,21,100,46,20,706541321303,706541321595
3,2,20,130,52,20,706541322673,706541323214
\\x82\\x0c\\x8ep\\x8c\\x1c\\x82\\x0cp\\xe2\\xcc\\x8ep\\x0c\\x8e\\xe0\\x0c\\x1c\\x80\\xfc,706541330158,706541330404
2,4,21,77,46,20,706541331822,706541332116
3,3,20,114,52,20,706541333189,706541333726
1,8,21,177,48,20,706541340675,706541340747
2,5,21,71,45,20,706541342340,706541342629
3,4,20,112,52,20,706541343707,706541344249
\\x82\\x0c|p\\x8c\\x1c\\x8c\\x0cp\\x9e\\x8c\\x8ep\\x0c\\x8e\\xe0\\x0c\\x1c\\x80\\xfc,706541351196,706541351444
2,6,21,171,45,20,706541352858,706541353151
3,5,20,125,52,20,706541354224,706541354762
1,10,21,194,48,20,706541361712,706541361783
2,7,20,197,45,20,706541363376,706541363667
3,6,20,109,52,20,706541364742,706541365285
1,11,22,175,48,20,706541372229,706541372301
2,8,21,160,45,20,706541373895,706541374190
3,7,21,122,52,20,706541375259,706541375795
\\x82\\x0cp\\x8c\\x0c\\x1c\\x82\\x0cp\\xe2\\x8c\\x1cp\\x0c\\x8e\\x9e\\x0c\\x1c\\x80\\xfc,706541382750,706541383001
2,9,20,150,45,20,706541384413,706541384703
3,8,20,106,51,20,706541385777,706541386312
\\x82\\x0cp\\x8e\\x0c\\x1c\\x82\\x0cp\\x9e\\x0c\\x8ep\\x0c\\x8e\\xe0\\x0c\\x1c\\x82\\xfc,706541393271,706541393524
2,10,20,142,45,20,706541394932,706541395219
3,9,21,105,51,20,706541396294,706541396835
1,14,21,172,48,21,706541403787,706541403858
2,11,21,134,45,20,706541405450,706541405741
3,10,21,119,51,20,706541406812,706541407350
1,15,22,172,47,21,706541414305,706541414374
2,12,21,190,44,20,706541415969,706541416256
3,11,21,103,51,20,706541417329,706541417867
\\x82\\x0cp\\x9c\\x0c\\x1c\\x82\\x0cp\\x9eL\\x0c\\x8e\\x9e\\x0c\\x1c\\x82\\xfc,706541424826,706541425056
2,13,21,189,44,20,706541426487,706541426778
3,12,20,101,50,20,706541427847,706541428383
1,17,21,170,47,21,706541435342,706541435412
2,14,20,188,45,21,706541437007,706541437296
3,13,20,115,51,21,706541438363,706541438904
1,18,22,170,47,21,706541445859,706541445927
2,15,21,187,45,21,706541447525,706541447816
3,14,21,99,51,21,706541448880,706541449419
1,19,21,169,47,21,706541456377,706541456446
2,16,20,185,44,21,706541458044,706541458331
3,15,20,112,51,21,706541459398,706541459932
1,20,21,185,47,21,706541466894,706541466968
2,17,21,87,44,21,706541468562,706541468850
3,16,20,110,51,21,706541469916,706541470456
1,21,22,165,47,21,706541477412,706541477481
2,18,21,182,44,21,706541479082,706541479371
3,17,21,97,50,21,706541480433,706541480965
2,19,20,179,44,21,706541489599,706541489887
3,18,21,97,50,21,706541490951,706541491486
1,23,20,178,46,21,706541498447,706541498519
2,20,21,177,44,21,706541500117,706541500408
3,19,21,96,50,21,706541501468,706541502003
1,24,22,177,46,21,706541508964,706541509031
2,21,20,191,44,21,706541510635,706541510919
3,20,20,104,50,21,706541511985,706541512524
\\x82\\x0c\\x1c\\x92\\x0c\\x1c\\x82\\x0cp\\x92L\\x0c\\x8e\\x92\\x0c\\x1c\\x82\\xfc,706541519486,706541519722
2,22,20,191,44,21,706541521153,706541521446
3,21,21,103,50,21,706541522503,706541523039
1,26,21,160,45,21,706541530004,706541530069
