nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
4,1,21,312,37,24,706362029810,706362030242
5,1,21,88,42,23,706362030731,706362031963
6,1,19,515,41,23,706362032600,706362032966
7,1,20,189,41,22,706362034044,706362034517
1,4,19,202,41,23,706362036215,706362036368
2,2,19,107,44,21,706362037523,706362037930
3,2,20,145,49,22,706362039276,706362039895
4,2,21,198,37,24,706362040327,706362040763
5,2,21,93,42,23,706362041249,706362042485
6,2,18,515,41,23,706362043118,706362043482
7,2,21,188,41,22,706362044561,706362045037
1,5,20,208,41,23,706362046733,706362046893
2,3,20,123,44,21,706362048040,706362048444
3,3,20,147,49,22,706362049794,706362050400
4,3,20,324,38,24,706362050844,706362051282
5,3,20,116,42,23,706362051767,706362052997
6,3,20,517,41,23,706362053635,706362053999
7,3,20,190,41,22,706362055079,706362055549
2,4,19,191,44,21,706362058558,706362058967
\\x8e\\x0c\\x8epLL\\x0cp\\x90\\xcc\\x8ep\\x0c\\x8e\\xe2\\x0c\\x1c\\x8c\\xfc,706362060316,706362061072
4,4,20,210,38,24,706362061362,706362061794
5,4,20,116,42,23,706362062284,706362063515
6,4,19,490,41,23,706362064152,706362064521
7,4,21,171,41,22,706362065596,706362066068
1,7,19,340,41,23,706362067774,706362067925
2,5,19,136,44,21,706362069075,706362069477
3,5,20,164,49,22,706362070834,706362071440
4,5,20,208,37,24,706362071879,706362072312
5,5,20,94,42,23,706362072801,706362074031
6,5,19,522,42,23,706362074669,706362075039
7,5,20,188,42,22,706362076114,706362076591
1,8,21,227,41,23,706362078291,706362078447
2,6,20,142,44,21,706362079593,706362079996
3,6,20,148,49,22,706362081352,706362081962
4,6,20,327,38,24,706362082396,706362082834
5,6,21,117,42,23,706362083319,706362084548
6,6,19,492,41,23,706362085187,706362085552
7,6,21,169,42,22,706362086632,706362087103
2,7,20,141,44,21,706362090110,706362090517
3,7,20,166,49,22,706362091870,706362092477
4,7,20,331,38,24,706362092913,706362093346
5,7,21,95,42,23,706362093837,706362095064
6,7,19,527,41,23,706362095704,706362096068
7,7,20,169,41,22,706362097149,706362097616
1,10,20,352,41,23,706362099326,706362099479
2,8,20,141,45,22,706362100627,706362101027
3,8,20,149,49,22,706362102388,706362102999
4,8,20,211,38,24,706362103430,706362103861
5,8,21,95,42,23,706362104354,706362105582
6,8,20,523,41,23,706362106221,706362106589
7,8,21,186,41,22,706362107667,706362108136
1,11,20,362,40,23,706362109844,706362109995
2,9,20,148,45,22,706362111145,706362111546
3,9,20,168,49,22,706362112906,706362113510
4,9,20,214,37,24,706362113948,706362114384
5,9,21,95,43,23,706362114871,706362116101
6,9,19,528,42,23,706362116738,706362117101
7,9,21,169,42,22,706362118184,706362118652
1,12,20,365,40,23,706362120362,706362120519
2,10,20,194,44,22,706362121663,706362122066
