nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
2,1,20,77,35,20,706303144043,706303144223
\\x8e\\x0cppLL\\x0c\\x8e\\x8c\\x0c\\x8e\\x82\\x0c\\x1c\\x80\\xfc,706303145385,706303145816
4,1,20,90,32,21,706303146219,706303146405
7,1,21,41,33,21,7063031504179,706303150394
3,2,19,55,41,20,706303155901,706303156204
4,2,20,83,32,21,706303156736,706303156911
7,2,21,37,33,21,7063031609346,706303160903
2,3,20,76,35,20,706303165081,706303165257
3,3,20,56,41,20,706303166419,706303166726
4,3,20,84,33,22,706303167253,706303167431
5,1,21,28,37,21,706303168337,706303168825
7,3,21,41,33,21,7063031714514,706303171425
7,4,21,41,33,21,706303172960,706303173147
2,4,20,75,35,20,706303175599,706303175777
3,4,20,63,41,20,706303176936,706303177240
\xaf\xc,4,20,84,sw\xe4r>,`\xf78v307u77770,706303177944
5,2,21,29,37,21,706303178852,706303179338
6,4,18,156,33,22,706303181841,706303181939
2,5,20,76,34,20,706303186117,706303186293
3,5,19,58,41,20,706303187454,706303187761
4,5,20,90,33,22,706303188286,706303188470
5,3,21,28,37,21,706303189370,706303189856
7,6,21,45,33,21,7063031924958,706303192462
2,6,20,82,35,20,706303196636,706303196811
3,6,20,63,41,20,706303197971,706303198275
4,6,20,90,33,22,706303198804,706303198982
5,4,21,29,37,21,706303199887,706303200374
7,7,21,40,33,21,7063032030176,706303202975
2,7,20,79,35,20,706303207155,706303207328
3,7,20,56,41,20,706303208489,706303208791
4,7,20,89,33,22,706303209321,706303209499
5,5,21,27,37,21,706303210405,706303210896
6,7,19,154,33,22,706303213393,706303213490
2,8,20,80,34,20,706303217672,706303217849
3,8,20,61,40,20,706303219007,706303219314
4,8,20,83,33,22,706303219838,706303220020
5,6,21,26,36,21,706303220923,706303221407
6,8,20,154,33,22,706303223910,706303224011
2,9,20,74,34,20,706303228190,706303228369
3,9,19,62,41,20,706303229521,706303229825
4,9,21,83,33,22,706303230355,706303230532
5,7,21,29,36,21,706303231440,706303231925
7,10,21,45,32,21,706303234528,706303234527
2,10,20,82,34,20,706303238709,706303238883
3,10,20,57,41,20,706303240039,706303240347
4,10,21,89,33,22,706303240872,706303241049
5,8,21,30,36,21,706303241957,706303242445
6,10,19,156,33,22,706303244945,706303245041
7,12,21,44,32,21,706303246589,706303246776
2,11,20,82,34,20,706303249227,706303249408
3,11,20,62,40,20,706303250556,706303250858
4,11,20,84,33,22,706303251389,706303251567
5,9,21,30,36,21,706303252475,706303252958
6,11,19,173,33,22,706303255462,706303255563
2,12,20,76,35,21,706303259745,706303259918
3,12,19,61,40,20,706303261073,706303261379
4,12,21,83,33,22,706303261907,706303262086
5,10,21,30,36,21,706303262993,706303263478
7,14,21,44,32,21,7063033265980,706303266079
2,13,20,82,35,21,706303270264,706303270438
3,13,20,61,40,20,706303271591,706303271893
4,1\x03/22,89,33,22,706303272424,706303272604
5,11,21,30,36,21,706303273510,706303273994
6,13,20,155,33,22,706303276497,706303276598
2,14,20,82,35,21,706303280782,706303280958
3,14,20,56,40,20,706303282108,706303282409
4,14,20,83,33,22,706303282941,706303283118
5,12,21,30,36,21,706303284028,706303284514
6,14,19,173,33,22,706303287015,706303287111
2,15,20,81,35,21,706303291300,706303291475
