nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
3,1,21,45,49,21
3,2,21,65,49,21
3,3,21,38,49,21
3,4,21,38,49,21
3,5,21,59,49,21
3,6,21,45,49,21
3,7,21,34,49,21
3,8,21,39,49,21
3,9,21,34,49,21
3,10,21,39,49,21
3,11,21,33,49,21
3,12,21,71,49,21
3,13,21,72,49,21
3,14,21,46,49,21
3,15,21,59,49,21
3,16,21,42,49,21
3,17,21,60,49,21
3,18,21,46,49,21
3,19,21,68,49,21
3,20,21,43,49,21
3,21,21,76,49,21
3,22,21,46,49,21
3,23,21,64,49,21
3,24,21,48,49,21
3,25,21,73,49,21
3,26,21,56,49,21
3,27,21,74,48,21
3,28,21,45,48,21
3,29,21,62,48,21
3,30,21,43,48,21
3,31,21,64,48,21
3,32,22,50,48,21
3,33,21,74,48,21
3,34,21,52,48,21
3,35,21,70,48,21
3,36,21,72,48,21
3,37,21,70,48,21
3,38,21,48,48,21
3,39,21,52,48,21
3,40,21,63,48,21
3,41,21,58,48,21
3,42,21,78,48,21
3,43,21,79,48,21
3,44,21,79,48,21
3,45,21,64,48,21
3,46,21,45,48,21
3,47,21,47,48,21
3,48,21,46,48,21
3,49,21,65,48,21
3,50,21,71,48,21
3,51,21,50,48,21
3,52,21,48,48,21
3,53,21,47,48,21
3,54,21,78,48,21
3,55,21,49,48,21
3,56,22,54,48,21
3,57,21,46,48,21
3,58,21,56,48,21
3,59,21,72,48,21
3,60,21,46,48,21
3,61,21,68,48,21
3,62,21,42,48,21
3,63,21,74,48,21
3,64,21,47,48,21
3,65,22,74,48,21
3,66,21,56,47,21
3,67,21,79,48,21
3,68,21,68,48,21
3,69,21,46,47,21
3,70,21,50,47,21
3,71,21,59,47,21
3,72,21,73,47,21
3,73,21,64,47,21
3,74,21,45,47,21
3,75,21,62,47,21
3,76,21,42,47,21
3,77,21,76,47,21
3,78,21,80,47,21
3,79,21,55,47,21
3,80,21,56,47,21
3,81,21,80,47,21
3,82,21,50,47,21
3,83,21,73,47,21
3,84,21,78,47,21
3,85,21,65,47,21
3,86,21,80,47,21
3,87,21,49,47,21
3,88,21,79,47,21
3,89,21,56,47,21
3,90,21,76,47,21
3,91,21,45,47,21
3,92,21,72,47,21
3,93,21,61,47,21
3,94,21,80,47,21
3,95,21,45,47,21
3,96,20,72,47,21
3,97,21,46,47,21
3,98,21,71,47,21
3,99,21,46,47,21
3,100,21,47,48,22
3,101,22,80,47,21
3,102,21,61,47,21
3,103,21,76,47,21
3,104,21,57,47,21
3,105,21,43,47,21
3,106,21,52,48,22
3,107,21,78,49,22
3,108,21,74,49,22
3,109,21,47,48,22
3,110,21,42,49,22
3,111,21,80,48,22
3,112,21,53,48,22
3,113,22,69,48,22
3,114,22,80,48,22
3,115,22,45,48,22
3,116,21,59,48,22
3,117,22,80,48,22
3,118,21,66,48,22
3,119,21,62,48,22
3,120,21,46,48,22
3,121,21,47,48,22
3,122,21,71,48,22
3,123,21,74,48,22
3,124,21,49,49,22
3,125,21,46,49,22
3,126,21,48,48,22
3,127,21,70,48,22
3,128,20,74,48,22
3,129,21,49,48,22
3,130,21,51,48,22
3,131,21,49,48,22
3,132,21,73,48,22
3,133,21,74,48,22
3,134,21,73,48,22
3,135,21,47,48,22
3,136,21,43,48,22
3,137,21,59,48,22
3,138,22,60,48,22
3,139,21,47,48,22
3,140,21,53,48,22
3,141,21,45,48,22
3,142,21,66,48,22
3,143,21,77,48,22
3,144,21,75,48,22
3,145,21,56,48,22
3,146,21,79,48,22
3,147,21,74,48,22
3,148,21,73,48,22
3,149,21,60,48,22
3,150,22,76,48,22
3,151,21,53,48,22
3,152,21,77,48,22
3,153,21,80,47,22
3,154,21,48,47,22
3,155,21,56,47,22
3,156,21,70,47,22
3,157,21,65,47,22
3,158,21,41,47,22
3,159,21,60,48,22
3,160,21,80,47,22
3,161,21,61,48,22
3,162,22,83,47,22
3,163,21,59,47,22
3,164,21,74,47,22
3,165,21,72,47,22
3,166,22,52,48,22
3,167,21,56,47,22
3,168,21,74,47,22
3,169,21,63,47,22
3,170,21,47,47,22
3,171,21,66,47,22
3,172,21,47,47,22
3,173,21,77,47,22
3,174,21,64,47,22
3,175,21,80,47,22
3,176,21,49,48,22
3,177,21,61,47,22
3,178,21,44,48,22
3,179,21,77,47,22
3,180,21,45,47,22
3,181,21,70,47,22
3,182,21,78,47,22
3,183,21,53,47,22
3,184,21,79,47,22
3,185,21,68,47,22
3,186,21,75,47,22
3,187,21,60,47,22
3,188,21,73,47,22
3,189,21,68,47,22
3,190,21,53,47,22
3,191,20,80,47,22
3,192,21,51,47,22
3,193,21,71,47,22
3,194,21,60,47,22
3,195,21,47,47,22
3,196,21,75,47,22
3,197,21,61,47,22
3,198,22,68,47,22
3,199,22,71,47,22
3,200,20,74,47,22
3,201,21,70,47,22
3,202,20,42,47,22
3,203,21,74,47,22
3,204,21,45,47,22
3,205,22,70,47,22
3,206,21,80,47,22
3,207,21,45,47,22
3,208,21,64,47,22
3,209,21,78,47,22
3,210,21,78,47,22
3,211,21,70,47,22
3,212,21,77,47,22
3,213,21,72,47,22
3,214,21,71,47,22
3,215,21,42,47,22
3,216,21,59,47,22
3,217,21,73,47,22
3,218,21,63,47,22
3,219,21,77,47,22
3,220,21,48,47,22
3,221,21,74,47,22
3,222,20,74,47,22
3,223,22,59,47,22
3,224,21,48,47,22
3,225,22,53,47,22
3,226,21,80,47,22
3,227,21,41,47,22
3,228,21,67,47,22
3,229,21,75,47,22
3,230,21,80,47,22
3,231,21,67,47,22
3,232,21,71,47,22
3,233,20,50,47,22
3,234,21,71,47,22
3,235,21,77,47,22
3,236,22,57,47,22
3,237,22,80,47,22
3,238,22,53,47,22
3,239,21,64,47,22
3,240,20,74,47,22
3,241,21,50,47,22
3,242,21,67,47,22
3,243,22,78,47,22
3,244,21,77,47,22
3,245,21,47,47,22
3,246,20,72,47,22
3,247,21,66,47,22
3,248,22,41,47,22
3,249,22,61,46,22
3,250,20,45,46,22
3,251,21,67,46,22
3,252,21,73,47,22
3,253,21,66,46,22
3,254,20,55,46,22
3,255,21,50,47,22
3,256,22,45,47,22
3,257,20,49,46,22
3,258,21,79,46,22
3,259,21,61,46,22
3,260,21,74,46,22
3,261,20,72,46,22
3,262,21,53,46,22
3,263,21,48,46,22
3,264,22,65,46,22
3,265,20,46,46,22
3,266,21,71,46,22
3,267,21,45,46,22
3,268,21,75,46,22
3,269,21,60,46,22
3,270,22,45,46,22
3,271,21,59,46,22
3,272,21,73,46,22
3,273,21,72,46,22
3,274,22,51,46,22
3,275,20,73,46,22
3,276,21,50,46,22
3,277,21,59,46,22
3,278,21,79,46,22
3,279,21,51,46,22
3,280,21,79,46,22
3,281,21,73,46,22
3,282,21,56,46,22
3,283,21,49,46,22
3,284,20,61,46,22
3,285,21,74,46,22
3,286,21,72,46,22
3,287,21,84,46,22
3,288,21,74,46,22
3,289,21,42,46,22
3,290,21,49,46,22
3,291,21,61,46,22
3,292,21,79,46,22
3,293,21,55,46,22
3,294,21,80,46,22
3,295,21,70,46,22
3,296,21,74,46,22
3,297,21,60,46,22
3,298,21,47,46,22
3,299,20,77,46,22
3,300,21,65,46,22
3,301,20,64,46,22
3,302,21,45,46,22
3,303,21,73,46,22
3,304,20,77,46,22
