nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
\\x00
5,1,27,53,38,25
5,2,27,53,38,25
5,3,27,53,38,25
5,4,26,52,38,25
2,1,21,59,46,23
5,5,27,52,38,25
2,2,21,50,46,23
5,6,26,57,38,25
2,3,21,73,45,23
5,7,26,54,38,25
3,4,22,70,46,23
5,8,26,51,38,25
3,5,22,61,46,23
5,9,26,55,38,25
2,6,21,48,46,23
5,10,26,56,38,25
3,7,22,42,46,23
5,11,26,56,38,25
2,8,21,47,46,23
5,12,26,49,38,25
2,9,21,63,45,23
5,13,26,53,38,25
2,10,22,71,46,23
5,14,26,54,38,25
2,11,22,73,45,23
5,15,26,57,38,25
3,12,22,60,46,23
5,16,26,58,38,25
2,13,22,45,46,23
5,17,27,54,38,25
3,14,22,64,45,23
5,18,26,58,38,25
2,15,22,72,45,23
5,19,26,49,38,25
3,16,22,46,45,23
5,20,26,50,38,25
3,17,22,66,46,23
5,21,26,53,38,25
2,18,22,70,46,23
5,22,26,56,38,25
3,19,22,46,46,23
5,23,27,53,38,25
2,20,22,57,45,23
5,24,27,52,38,25
3,21,22,49,45,23
5,25,27,52,38,25
3,22,23,73,46,23
5,26,27,53,38,25
2,23,22,57,46,23
5,27,27,51,38,25
3,24,22,67,46,23
5,28,27,54,38,25
2,25,22,78,45,23
5,29,27,57,38,25
3,26,23,54,45,23
5,30,27,55,38,25
2,27,22,56,45,23
5,31,27,50,38,25
3,28,22,79,46,23
5,32,27,51,38,25
3,29,22,66,46,23
5,33,27,55,38,25
2,30,22,70,46,23
5,34,27,51,38,25
3,31,22,49,46,23
5,35,27,51,38,25
3,32,22,61,46,23
5,36,27,56,38,25
2,33,23,77,46,23
5,37,27,51,38,25
3,34,22,47,45,23
5,38,27,53,38,25
2,35,22,64,45,23
5,39,27,49,38,25
3,36,22,78,46,23
5,40,27,56,38,25
2,37,22,48,45,23
5,41,27,52,38,25
3,38,23,67,45,23
5,42,27,55,38,25
2,39,22,42,46,23
5,43,27,52,38,25
3,40,23,48,46,23
5,44,27,54,38,25
2,41,23,74,45,23
5,45,27,54,38,25
3,42,22,46,45,23
5,46,27,52,38,25
3,43,22,59,45,23
5,47,27,49,38,25
2,44,22,78,45,23
5,48,27,50,38,25
3,45,22,63,45,23
5,49,27,55,38,25
3,46,23,78,45,23
5,50,27,54,38,25
2,47,22,60,45,23
5,51,27,53,38,25
2,48,22,73,45,23
5,52,27,54,38,25
3,49,22,78,45,23
5,53,27,60,38,25
2,50,22,64,45,23
5,54,27,57,38,25
2,51,22,46,45,23
5,55,27,57,38,25
3,52,22,48,45,23
