nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
3,1,22,59,46,23
3,2,22,50,46,23
3,3,22,73,45,23
3,4,22,70,46,23
3,5,22,61,46,23
3,6,23,48,46,23
3,7,22,42,46,23
3,8,22,47,46,23
3,9,22,63,45,23
3,10,22,71,46,23
3,11,22,73,45,23
3,12,22,60,46,23
3,13,22,45,46,23
3,14,22,64,45,23
3,15,22,72,45,23
3,16,22,46,45,23
3,17,22,66,46,23
3,18,22,70,46,23
3,19,22,46,46,23
3,20,22,57,45,23
3,21,22,49,45,23
3,22,23,73,46,23
3,23,22,57,46,23
3,24,22,67,46,23
3,25,22,78,45,23
3,26,23,54,45,23
3,27,22,56,45,23
3,28,22,79,46,23
3,29,22,66,46,23
3,30,22,70,46,23
3,31,22,49,46,23
3,32,22,61,46,23
3,33,23,77,46,23
3,34,22,47,45,23
3,35,22,64,45,23
3,36,22,78,46,23
3,37,22,48,45,23
3,38,23,67,45,23
3,39,22,42,46,23
3,40,23,48,46,23
3,41,23,74,45,23
3,42,22,46,45,23
3,43,22,59,45,23
3,44,22,78,45,23
3,45,22,63,45,23
3,46,23,78,45,23
3,47,22,60,45,23
3,48,22,73,45,23
3,49,22,78,45,23
3,50,22,64,45,23
3,51,22,46,45,23
3,52,22,48,45,23
3,53,22,59,46,23
3,54,22,76,46,23
3,55,22,66,45,23
3,56,22,69,45,23
3,57,22,78,45,23
3,58,22,72,45,23
3,59,22,47,46,23
3,60,22,53,45,23
3,61,22,41,45,23
3,62,22,62,45,23
3,63,22,72,45,23
3,64,22,78,45,23
3,65,22,61,45,23
3,66,22,78,45,23
3,67,22,51,45,23
3,68,22,53,45,23
3,69,22,48,45,23
3,70,22,60,45,23
3,71,23,73,45,23
3,72,22,69,45,23
3,73,22,60,45,23
3,74,22,72,45,23
3,75,22,72,45,23
3,76,22,46,45,23
3,77,22,62,45,23
3,78,22,43,45,23
3,79,22,65,45,23
3,80,22,56,45,23
3,81,23,75,45,23
3,82,22,58,45,23
3,83,22,78,45,23
3,84,22,74,45,23
3,85,22,44,45,23
3,86,22,48,45,23
3,87,23,73,45,23
3,88,22,72,45,23
3,89,22,42,45,23
3,90,22,57,45,23
3,91,22,46,45,23
3,92,22,47,45,23
3,93,22,68,45,23
3,94,22,71,45,23
3,95,22,77,46,23
3,96,22,69,46,23
3,97,22,72,45,23
3,98,22,69,45,23
3,99,22,72,45,23
3,100,22,46,45,23
3,101,22,59,46,23
3,102,22,42,45,23
3,103,22,62,46,23
3,104,22,56,46,23
3,105,22,77,45,23
3,106,22,61,46,23
3,107,22,70,45,23
3,108,22,69,45,23
3,109,23,71,46,23
3,110,22,76,45,23
3,111,23,50,45,23
3,112,22,63,45,23
3,113,22,78,46,23
3,114,22,68,46,23
3,115,23,42,46,23
3,116,22,68,46,23
3,117,22,73,45,23
3,118,22,58,46,23
3,119,22,73,46,23
3,120,22,72,46,23
3,121,22,68,46,23
3,122,22,72,46,23
3,123,22,73,45,23
3,124,22,44,46,23
3,125,22,58,46,23
3,126,22,44,46,23
3,127,22,59,46,23
3,128,22,47,46,23
3,129,22,64,46,23
3,130,22,47,46,23
3,131,22,64,46,23
3,132,22,73,46,23
3,133,22,58,46,23
3,134,23,50,46,23
3,135,23,51,45,23
3,136,22,71,45,23
3,137,22,42,46,23
3,138,22,65,46,23
3,139,22,46,46,23
3,140,22,57,46,23
3,141,22,47,46,23
3,142,22,60,46,23
3,143,23,78,46,23
3,144,22,69,46,23
3,145,22,48,45,23
3,146,22,69,46,23
3,147,22,73,46,23
3,148,23,62,46,23
3,149,22,47,46,23
3,150,23,60,46,23
3,151,22,42,46,23
3,152,22,55,46,23
3,153,22,50,46,23
3,154,23,57,46,23
3,155,22,45,46,23
3,156,23,67,46,23
3,157,22,73,46,23
3,158,22,71,46,23
3,159,22,73,46,23
3,160,22,70,46,23
3,161,22,71,46,23
3,162,22,60,46,23
3,163,22,74,46,23
3,164,22,66,46,23
3,165,23,44,46,23
3,166,22,52,46,23
3,167,22,47,46,23
3,168,22,65,46,23
3,169,22,44,46,23
3,170,22,75,46,23
3,171,22,53,46,23
3,172,22,46,46,23
3,173,22,69,46,23
3,174,22,83,46,23
3,175,22,63,46,23
3,176,22,45,46,23
3,177,22,54,46,23
3,178,22,77,46,23
3,179,22,54,46,23
3,180,22,75,46,23
3,181,22,76,46,23
3,182,22,49,46,23
3,183,22,44,46,23
3,184,22,77,46,23
3,185,22,74,46,23
3,186,23,47,46,23
3,187,22,52,46,23
3,188,22,66,46,23
3,189,22,46,46,23
3,190,22,60,46,23
3,191,22,73,46,23
3,192,22,54,46,23
3,193,22,48,46,23
3,194,22,64,46,23
3,195,22,73,46,23
3,196,22,44,46,23
3,197,22,64,46,23
3,198,22,73,46,23
3,199,22,63,46,23
3,200,22,72,46,23
3,201,22,64,46,23
3,202,22,73,46,23
3,203,22,63,46,23
3,204,23,47,46,23
3,205,22,59,46,23
3,206,22,44,46,23
3,207,22,48,46,23
3,208,22,46,46,23
3,209,22,67,46,23
3,210,22,61,46,23
3,211,22,46,46,23
3,212,22,62,46,23
3,213,23,53,46,23
3,214,23,48,46,23
3,215,22,64,46,23
3,216,22,51,46,23
3,217,22,56,46,23
3,218,22,46,46,23
3,219,22,60,46,23
3,220,22,48,46,23
3,221,22,55,46,23
3,222,22,74,46,23
3,223,22,78,46,23
3,224,22,75,46,23
3,225,22,46,46,23
3,226,22,67,46,23
3,227,22,82,46,23
3,228,22,77,46,23
3,229,22,66,46,23
3,230,22,78,46,23
3,231,22,71,46,23
3,232,22,58,46,23
3,233,22,49,46,23
3,234,22,62,46,23
3,235,22,70,46,23
3,236,23,72,46,23
3,237,22,68,46,23
3,238,22,76,46,23
3,239,22,77,46,23
3,240,22,77,46,23
3,241,22,76,46,23
3,242,22,70,46,23
3,243,22,73,46,23
3,244,22,65,46,23
3,245,22,60,46,23
3,246,22,46,46,23
3,247,22,68,46,23
3,248,22,79,46,23
3,249,22,63,46,23
3,250,22,55,46,23
3,251,22,78,46,23
3,252,23,61,46,23
3,253,22,42,46,23
3,254,22,61,46,23
3,255,23,42,46,23
3,256,22,64,46,23
3,257,22,48,46,23
3,258,22,52,46,23
3,259,22,69,46,23
3,260,22,78,46,23
3,261,22,57,46,23
3,262,22,72,46,23
3,263,22,48,46,23
3,264,22,65,46,23
3,265,22,44,46,23
3,266,22,57,46,23
3,267,22,71,46,23
3,268,23,73,46,23
3,269,22,77,46,23
3,270,22,60,46,23
3,271,22,46,46,23
3,272,22,52,46,23
3,273,23,52,46,23
3,274,22,42,46,23
3,275,22,47,45,23
3,276,23,67,46,23
3,277,22,72,46,23
3,278,22,69,46,23
3,279,22,50,46,23
3,280,22,45,46,23
3,281,23,64,46,23
3,282,22,76,46,23
3,283,22,78,46,23
3,284,22,55,46,23
3,285,22,73,46,23
3,286,22,78,46,23
3,287,23,63,46,23
3,288,22,46,46,23
3,289,22,49,46,23
3,290,22,63,46,23
3,291,22,73,46,23
3,292,22,74,46,23
3,293,22,66,46,23
3,294,23,78,46,23
3,295,23,68,46,23
3,296,22,78,46,23
3,297,22,50,46,23
3,298,23,66,46,23
3,299,22,78,46,23
3,300,22,54,46,23
