nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
4,1,20,7,54,20
4,2,20,7,54,20
4,3,20,5,54,20
\\x00
4,7,20,6,54,20
4,8,20,6,54,20
4,9,20,6,54,20
4,10,20,7,54,20
4,11,20,7,53,20
4,12,20,7,53,20
4,13,20,6,53,20
4,14,20,5,53,20
4,15,20,5,53,20
4,16,20,5,53,20
4,17,20,5,53,20
4,18,20,5,53,20
1,1,28,7,42,24
5,1,18,63,55,19
4,21,20,7,53,20
4,22,20,7,53,20
4,23,20,7,53,20
3,1,20,2,53,19
1,6,28,6,42,24
5,6,19,58,55,19
1,7,28,6,42,24
3,3,20,2,53,19
2,3,20,6,51,22
5,8,19,59,55,19
2,4,20,6,51,22
5,9,20,64,55,19
1,10,28,6,41,24
5,10,19,59,55,19
1,11,29,7,41,24
5,11,18,64,55,19
2,7,20,6,51,22
5,12,19,64,55,19
1,13,28,6,42,24
5,13,19,64,55,19
1,14,28,6,41,24
3,10,20,2,53,19
2,10,20,6,51,22
5,15,18,65,55,19
2,11,20,5,51,22
3,12,20,2,52,19
2,12,20,6,51,22
5,17,19,61,55,19
2,13,20,5,51,22
3,14,20,2,53,19
2,14,20,5,51,22
5,19,19,61,55,19
1,20,28,6,41,24
5,20,19,67,55,19
1,21,28,7,41,24
5,21,19,60,55,19
2,17,20,6,51,22
5,22,19,66,55,19
2,18,20,6,51,22
5,23,19,65,55,19
2,19,20,6,51,22
5,24,18,66,55,19
1,25,28,6,41,24
5,25,19,66,55,19
1,26,28,6,41,24
5,26,19,66,55,19
1,27,28,6,41,24
3,23,20,2,52,19
1,28,28,6,41,24
3,24,20,2,52,20
1,29,28,7,41,24
3,25,20,2,52,19
2,25,20,6,51,22
5,30,19,72,55,19
2,26,20,6,50,22
3,27,20,2,52,20
2,27,20,6,50,22
5,32,19,62,55,19
1,33,28,7,41,24
5,33,19,62,55,19
1,34,28,6,42,24
3,30,20,2,52,20
2,30,20,6,51,22
5,35,19,67,55,19
2,31,20,6,51,22
5,36,19,63,55,19
1,37,28,7,42,24
5,37,18,68,55,19
1,38,28,7,42,24
5,38,18,63,55,19
2,34,20,6,51,22
3,35,20,2,52,20
2,35,20,6,51,22
5,40,18,62,55,19
2,36,20,5,51,22
5,41,19,67,55,19
2,37,20,6,51,22
5,42,19,68,55,19
2,38,20,6,51,22
5,43,18,62,55,19
2,39,20,6,50,22
5,4d\xac19,68,55,19
