nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
\\x00
4,1,21,12,56,19
4,2,21,12,56,19
4,3,21,12,56,19
4,4,21,12,56,19
4,5,21,12,56,19
4,6,21,12,56,19
4,7,21,12,56,19
4,8,21,12,56,19
4,9,21,12,56,19
4,10,21,12,55,19
4,11,21,12,56,19
4,12,21,12,56,19
4,13,21,12,55,19
1,1,21,7,58,19
\\x9e\\x0cpp\\x8c\\x1c\\x80\\x0cp\\x82\\xcc\\x8ep\\x8c\xdcx0e\x1cx\xa76P{0c\xa7\xc0\x96I\xef6\x10([)\xe1
4,15,21,12,56,19
1,3,21,7,58,19
6,2,21,22,57,19
1,4,21,7,58,19
5,4,17,363,59,18
4,17,21,12,56,19
2,1,20,29,58,19
5,5,18,231,59,18
\\x9c\\x\x10a\xc0\xd0\xa4KN-\xdap\xa8\xf\x9c\x1a;\xc2\x90\xe4\xf0\xf2\x96{\x5\x19\xa2\x88j\x92\xc7X\xd\xf1\xe8\xax\xfe_O\x9aY%M|l\x17\x034\xa1\x11\x19\x8\xa$\xd46\xaaa!
5,6,19,365,59,18
2,3,20,29,\x57ma<
1,7,21,7,58,188
6,6,21,22,\x5\xf7\xa0\x1\xa5\x01
5,8,18,232,59,18c\\x1c\\x80\\x0cp\\x82\\x8c\\x8ep\\x8c\\x8e\\x92\\x0cp\\xe0\\xfc
6,7,21,22,57,19
4,21,21,12,56,19
2,5,20,30,57,19
5,9,18,237,59,18
7,9,20,101,65,18
6,9,21,22,57,19
o\xf4,N%\xf3r&\x0f3\x11-\x1fI9\xd16-
2,7,20,29,57,19
5,11,19,237,59,18
7,11,19,116,64,18
2,8,20,29,57,19
1,12,21,7,58,19
7,12,19,117,65,18
6,12,21,22,57,19
2,9,20,29,57,19
5,13,19,485,59,18
1,14,21,7,58,19
7,14,20,116,64,18
2,11,20,29,57,19
7,15,20,10\xf1p\xf1\xf3,18
2,12,20,29,57,19
4,28,21,12,56,19
5,16,18,361,59,18
1,17,21,7,58,19
5,17,19,230,59,18
7,17,20,116,64,18
1,18,21,7,58,19
2,14,20,29,57,19
6,17,21,22,57,19
1,19,21,7,58,19
6,18,21,22,56,19
4,32,21,12,55,19
5,19,18,357,58,18
2,17,20,28,57,19
4,33,21,11,56,19
7,21,19,102,64,18
2,18,20,29,57,19
6,21,21,21,56,19
7,22,19,101,64,18
6,22,21,21,57,19
6,23,21,21,56,19
7,23,19,115,64,18
2,20,20,28,57,19
4,36,21,8,55,19
4,37,21,9,55,19
4,38,21,11,56,19
2,22,20,23,57,19
1,27,21,5,57,19
2,23,20,26,57,19
