nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
1,1,24,65535,37,24
5,2,23,65535,37,24
\\x9e\\x0c\\x1cpL\\x8c\\x8epL\\x8c\\x1c\\xe0\\xcc\\x1cpL\\x8e\\xe0\\x0cp\\xe2\\xfc
5,3,23,65535,37,24
\\x9e\\x0c\\x1cpL\\xcc\\x8epL\\x8c\\x1c\\xe0\\x0c\\x0cr\\xe0\\x0cp\\xe2\\xfc
5,4,24,65535,37,24
\\x9e\\x0c\\x8epL\\x8c\\x8epL\\x0c\\x0c\\x0cr\\xe0\\x0cp\\xe2\\xfc
1,4,21,65535,49,20
7,5,17,1280,59,19
5,6,22,65535,37,24
\\x9e\\x0c\\x8epL\\xcc\\x8ep\\x0cLL\\x0cr\\xe2\\x0cp\\xe2\\xfc
5,7,23,65535,37,24
1,7,23,1358,49,20
7,7,17,891,58,19
5,8,21,65535,37,24
1,8,24,65535,49,20
7,8,16,894,58,19
5,10,21,65535,37,24
1,10,22,1363,49,20
5,11,23,65535,37,24
7,10,17,1272,58,19
1,11,21,1352,49,20
7,11,16,1275,58,19
1,12,22,65535,49,20
7,12,14,897,59,19
1,13,24,65535,50,20
5,14,23,65535,37,24
7,14,17,1258,59,19
5,15,22,65535,37,24
1,15,23,1347,50,20
7,15,17,1263,59,19
1,16,23,65535,50,20
5,17,25,883,59,19
1,17,23,65535,50,20
7,18,17,880,59,19
5,18,24,65535,37,24
1,18,22,1341,49,20
7,19,17,1261,59,19
5,19,24,65535,37,24
7,20,16,880,59,19
1,20,22,65535,49,20
5,21,24,65535,37,24
5,22,2\x4,611:\xe8,\x927\x1e0dE
5,23,22,65535,37,24
5,24,23,65535,36,24
7,24,17,880,59,19
5,25,24,65535,36,24
7,25,17,880,59,19
1,25,22,65535,49,21
5,26,23,65535,36,24
7,26,16,869,58,19
5,27,24,65535,36,25
7,27,17,1241,58,21
5,28,23,65535,36,25
1,28,22,1350,48,21
7,28,17,880,58,19
5,29,23,65535,36,25
1,29,23,65535,48,21
5,30,23,65535,36,25
7,30,17,880,58,19
5,31,23,65535,36,25
1,31,22,1344,48,21
7,31,17,869,58,19
5,32,24,65535,36,25
7,32,16,872,58,19
7,33,17,875,58,19
1,33,23,65535,48,21
7,34,17,861,58,19
5,34,24,65535,36,25
7,35,17,1247,58,19
5,35,23,65535,36,25
1,35,23,65535,48,21
7,36,17,875,58,20
5,36,24,65535,36,25
1,36,23,1344,49,22
5,37,24,65535,35,25
1,37,24,65535,48,22
5,38,24,65535,35,25
1,38,24,65535,48,22
7,39,17,861,57,20
5,39,24,65535,35,25
7,40,17,1250,57,20
7,41,18,866,57,20
7,42,16,877,57,20
5,41,24,65535,34,25
1,42,23,65535,47,22
5,42,24,65535,34,25
7,44,17,1255,56,20
5,43,24,65535,34,25
7,45,18,883,56,20
1,44,23,1344,47,22
7,46,18,877,56,20
1,45,22,65535,47,22
5,45,24,65535,34,25
7,47,17,866,56,20
1,46,24,65535,47,22
5,46,24,65535,34,25
7,48,18,1230,55,20
5,47,23,65535,34,25
7,49,17,855,55,20
1,48,24,65535,34,25
7,50,17,838,55,20
5,49,24,65535,34,25
1,49,23,65535,46,22
5,50,24,65535,34,25
1,50,23,65535,46,22
7,52,18,838,55,20
5,51,24,65535,34,25
1,51,24,1316,46,22
7,53,17,1208,55,20
5,52,24,65535,34,25
1,52,23,65535,46,22
7,54,17,827,55,20
5,53,24,65535,34,25
7,55,17,8313,46,22
1,54,24,65535,34,25
7,56,17,1191,55,20
5,55,24,65535,34,25
1,55,23,1305,46,22
5,56,24,65535,34,25
7,58,17,11535,46,22
5,57,24,65535,34,25
7,59,17,827,54,20
1,57,23,1308,46,22
5,58,24,65535,34,25
7,60,17,1208,54,20
1,58,23,1319,46,22
5,59,24,65535,34,25
7,61,17,836,54,20
1,59,24,65535,46,22
5,60,24,65535,34,25
7,62,17,1211,54,20
1,60,23,65535,46,22
5,61,24,65535,35,25
7,63,16,841,54,20
1,61,24,65535,46,22
5,62,23,65535,34,25
7,64,17,1222,54,20
1,62,23,1319,45,21
5,63,24,65535,35,25
7,65,18,847,54,20
1,63,23,1327,45,21
5,64,24,65535,35,25
7,66,17,841,54,20
5,65,23,65535,35,24
7,67,17,838,54,20
5,66,24,65535,35,24
7,68,17,850,54,20
1,66,21,65535,46,21
\xe6\xc9\x0e>aY\xf6\x91`2\x19\xe42\x9a\xac00\x16\xd1@
5,68,23,658,54,20
1,68,23,65535,46,21
\x02C+\x83\x1fL50PM\x96\xd7\x8a\x9dus\xdd\x00\x1\xf1\x84
5,69,24,65535,36,24
7,72,18,1233,54,20
1,70,2\xc3<\x8a\xf98SU\x16\xf8vl\xd8\x91*
7,73,18,1236,54,20
1,79$2\xc3<\xa0\xf9hS\\\x16\xf8vl\xd8\x81*
7,74,18,1241,54,20
1,72,23,65535,47,21
7,75,16,861,55,20
1,73,23,1341,47,22
5,73,24,65535,37,24
7,76,18,875,54,20
5,74,24,65535,36,24
7,77,17,869,55,21
5,75,24,65535,37,24
5,76,24,65535,36,24
7,79,18,863,55,21
1,77,23\x81T\x2\x91\xae\xea\xfd7J22\xe7
7,80,18,1241,55,21
5,78,23,65535,36,24
1,78,23,65535,46,21
7,81,18,852,55,21
1,79,21,65535,47,22
7,82,18,844,55,21
5,80,23,65535,37,24
7,83,17,852,55,21
5,81,24,65535,37,24
7,84,18,855,55,21
5,82,23,65535,36,24
1,82,21,65535,46,21
7,85,18,855,54,21
5,83,24,65535,36,24
1,83,22,65535,46,22
1,84,23,65535,36,24
7,87,18,858,54,21
1,85,21,1327,46,22
5,86,24,65535,36,24
7,89,17,1236,54,21
1,87,23,65535,46,22
5,87,24,65535,36,24
7,90,18,861,54,21
1,88,23,1330,46,22
5,88,24,65535,36,24
7,91,18,1114,54,21
1,89,22,1330,46,22
5,89,23,65535,35,24
7,92,18,1241,53,21
1,90,23,65535,46,22
7,93,18,1250,54,21
5,91,23,65535,35,24
1,91,23,1344,45,22
5,92,24,65535,,21
1,92,23,65535,45,22
5,93,24,65535,36,24
1,93,23,65535,45,22
7,96,17,1247,54,21
5,94,24,65535,35,24
1,94,23,1338,45,22
5,95,24,65535,35,24
1,95,23,65535,44,22
7,98,19,1241,53,21
5,97,24,65535,36,25
7,99,13,1338,44,22
5,98,24,65535,36,25
7,100,18,869,53,21
1,98,23,65535,44,23
7,101,17,863,53,21
1,99,23,65535,44,22
7,102,18,866,53,21
5,100,24,65535,35,25
1,100,22,1341,44,22
7,103,18,877,53,21
1,101,24,65535,44,23
5,102,24,65535,36,25
7,104,18,1247,53,21
1,102,23,65535,44,23
5,103,24,65535,35,25
7,105,18,1252,53,21
1,103,23,65535,44,23
5,104,24,65535,35,25
1,104,22,65535,43,23
5,105,24,65535,35,25
7,107,17,902,52,21
5,106,24,65535,35,25
7,108,17,15535,43,23
7,109,18,897,52,21
5,109,24,6553552,21
1,108,23,1358,43,23
5,110,24,65535,34,25
7,111,17,900,52,21
5,111,24,65535,34,25
1,110,23,1358,42,23
5,112,24,6E\x95y\xd20z\x94\x0c?5
1,111,23,1361,43,23
\1,112,R=\x86Z\xe7Q\x18w\xc4:,Q\x05
7,115,18,894,52,21
1,113,\x92v\x8c\x39I4N 6<\xa\x6O
7,116,18,1269,52,21
1,114,23,1352,43,22
5,115,25,65535,34,25
7,117,19,1269,52,21
5,116,24,65535,34,25
7,118,18,1269,52,21
1,116,\xf2\\\xaa?c3}\xd24#%\xa*\x17
7,119,18,1263,52,21
1,117,22,65535,43,22
5,118,24,65535,34,25
7,120,18,1255,52,21
1,118,22,1344,43,22
7,121,18,1247,52,21
5,120,24,65535,34,25
1,119,23,1341,43,22
7,122,18,1255,52,21
5,121,24,65535,34,25
1,120,23,1341,43,22
7,123,18,1241,52,21
5,122,23,65535,34,25
1,121,22,65535,44,22
7,124,18,861,52,21
5,123,23,65535,34,25
1,122,22,65535,43,22
7,125,17,855,52,21
1,123,R>\x8a\xca~QTw\x44,\x2cD
7,126,17,1222,51,20
5,125,23,65535,34,24
7,127,16,1227,51,20
\1,125,\xd1.\x0c\x85\xd\xa5).>\xf5\xa82R(
7,128,17,1233,51,20
5,127,23,65535,35,24
1,126,25,65535,44,22
7,129,17,1227,51,20
5,128,24,65535,35,24
1,127,23,1333,44,22
7,130,17,1225,52,20
\1,128,\xd174\x85\xe\xe9).4p\xec22\xac
7,131,17,861,52,20
5,130,22,65535,35,24
7,132,18,861,52,20
5,131,24,65535,36,24
5,132,24,655352,20
1,131,23,65535,44,21
7,134,16,1233,52,20
5,133,24,65535,35,24
7,135,17,858,52,20
5,134,23,65535,36,24
1,133,23,1333,44,21
7,136,17,1236,52,20
5,135,23,65535,36,24
1,134,22,1325,44,21
7,137,15,1233,52,20
5,136,23,65535,36,24
1,135,23,65535,44,21
7,138,17,1227,52,20
5,137,24,65535,36,24
1,136,22,1336,45,21
7,139,17,1233,53,20
5,138,23,65535,36,24
7,140,17,858,53,20
5,139,23,65535,36,24
7,141,17,1236,52,20
1,138,23,65535,44,21
5,140,23,65535,36,24
\xd2k\xfd\xa8\xf9w\xf0O\xf2\xffd\x6\xe1\xd9}Z#\x90\xe9\x93\xd6\x81\xc0
5,141,24,65535,36,24
7,143,18,1244,53,20
1,140,22,1338,44,21
5,142,24,65535\xac\x01;\xa8\x034
1,141,23,65535,44,21
7,145,17,1236,53,20
5,143,22,65535,36,24
7,146,18,1241,53,20
5,144,23,65535,36,24
7,147,17,1236,53,20
1,144,23,65535,35,24
7,148,17,861,53,20
5,146,23,65535,35,24
1,145,21,65535,44,21
7,149,17,858,53,20
5,147,23,65535,35,24
1,146,23,65535,44,21
7,150,16,1238,53,20
5,148,23,65535,35,24
7,151,17,858,53,20
5,149,23,65535,35,24
1,148,21,1336,44,21
7,152,16,863,53,20
5,150,23,65535,35,24
1,149,22,1336,44,21
7,153,15,1238,53,20
5,151,23,65535,35,24
7,154,17,1247,53,20
5,152,23,65535,35,24
1,152,23,65535,44,21
5,154,24,65535,35,24
7,157,17,1250,54,20
5,155,24,65535,35,24
/1,Qu\xf3&6\x03,5U\x3~4|\xaeA{\xe4(\x4
5,156,23,65535,35,24
\x9$\xa1\xf\x88\x99Y\xc9%\xc2\xca:\xd8k;z\x81\x0\xe1\\
5,157,23,65535,35,24
7,160,15,1247,54,20
5,158,23,65535,35,24
\xe2\x1\xac\xc9\xda\x872P\x19PE\x83\xc3\xd0p\xcc\xf4\x5\xc \xce
5,159,23,65535,35,24
1,158,23,1344,44,21
7,162,17,1252,54,20
5,160,23,65535,35,24
1\xacQe\xc0\xc\xae\x93,kYd\x90\xd6`\x8d(G\xf7B
5,161,23,65535,35,24
/\x1$\x19u\x90\xae\x03\x7f\x11E\x6(Xt\xff\x3\xe4z\x1d
1,161,23,1344,45,21
5,163,23,655\x135,S6,27
7,166,17,1261,54,19
1,162,24,1341,45,21
5,164,23,65535,36,24
7,167,18,1252,54,19
1,163,23,65535,45,21
5,165,22,65535,36,24
7,168,15,1252,55,19
1,164,23,65535,45,21
5,166,23,65535,36,24
7,169,17,1236,54,19
1,165,23,1333,45,21
5,167,23,65535,36,24
7,170,17,872,54,19
1,166,21,65535,45,21
1,171,17,861,54,19
5,169,23,65535,36,24
1,168,23,65535,45,21
5,170,23,65535,36,24
1,169,21,65535,45,21
7,173,17,1244,55,19
5,171,23,65535,36,24
1,170,22,1341,45,21
7,174,18,869,55,19
5,172,24,65535,36,24
1,171,22,1336,45,21
7,175,15,1244,55,19
1,172,22,65535,36,24
7,176,17,1255,55,19
5,174,23,65535,36,24
1,173,23,65535,45,21
7,177,17,877,55,19
1,174,22,65535,45,21
7,178,15,1263,55,19
5,176,23,65535,36,24
7,179,17,888,55,20
5,177,23,65535,36,24
7,180,17,888,55,20
1,177,23,65535,45,21
7,181,17,1255,55,20
1,178,23,65535,45,21
7,182,17,888,55,20
5,180,23,65535,36,24
7,183,18,883,54,20
5,181,23,65535,35,24
1,180,22,1344,44,21
7,184,17,883,54,20
5,182,23,65535,36,24
1,181,23,65535,44,21
7,185,17,1266,54,20
1,182,23,1347,45,22
7,186,19,1266,54,20
1,183,23,65535,44,21
7,187,16,1272,54,20
1,184,22,65535,44,21
5,185,23,65535,36,24
7,188,17,880,54,20
1,185,23,65535,44,21
7,189,18,880,54,20
1,186,21,65535,44,21
7,190,17,1266,54,20
1,187,22,65535,44,21
5,188,22,65535,36,24
1,188,22,65535,44,21
7,192,17,1255,55,19
1,189,23,1344,44,21
7,193,16,1244,55,19
5,190,23,65535,36,24
7,194,17,1247,55,19
5,191,23,65535,36,24
1,192,21,65535,45,21
7,195,17,1247,55,19
5,192,23,65535,36,24
1,193,21,65535,44,21
5,193,23,65535,36,24
7,196,17,1244,55,19
1,194,22,65535,45,21
5,194,24,65535,37,24
7,197,17,1250,55,19
1,195,21,1336,45,21
7,198,17,866,55,19
1,196,22,65535,45,21
5,196,23,65535,37,24
7,199,17,861,55,19
1,197,22,65535,45,21
7,200,16,1241,55,19
5,197,23,65535,37,24
1,198,22,65535,45,21
5,198,24,65535,37,24
1,199,21,1336,45,21
5,199,23,65535,37,2
1,200,22,65535,45,21
7,203,16,863,55,19
1,201,21,65535,45,21
7,204,16,863,55,19
5,201,23,65535,37,24
1,202,22,1338,45,21
5,202,23,65535,37,24
7,206,22,1341,46,21
5,203,23,65535,37,24
7,207,17,872,56,19
5,204,22,65535,37,24
1,205,22,1338,46,21
7,209,16,869,56,19
1,207,21,65535,45,21
7,210,17,1250,56,19
7,211,17,1255,56,19
7,212,17,1252,56,19
5,209,23,65535,36,24
7,213,17,1255,56,19
1,211,22,65535,45,21
7,214,17,875,56,19
1,212,22,65535,45,21
5,211,23,65535,37,24
7,215,17,1247,56,19
1,213,22,65535,45,21
5,212,22,65535,37,24
7,216,16,1261,56,19
1,214,22,1341,45,21
7,217,17,880,56,19
1,215,21,1347,45,21
7,218,18,872,56,19
r\xff\xfc\x9<\xe1\x92,s1\xe41\xe3=y)\xd53\xc9\x83\x0\t
7,219,17,1250,56,19
5,215,22,65535,37,23
5,216,23,65535,38,23
\xac\x6\x7l\x3\x98fs2\xe81\xd3=3/@f,/\x2\x18
7,221,16,1255,56,19
5,218,23,65535,38,23
5,219,23,65535,38,23
7,223,15,875,57,19
\xa2\x84\x5$\xa2;\xa1\x1512\xe8\x2\x05u\x03\xfc.l\x896\xf7\x11
