nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
5,1,13,156,73,13
5,2,13,155,73,13
5,3,14,174,73,13
5,4,13,154,73,13
5,5,13,153,73,13
5,6,14,173,73,13
5,7,13,151,73,13
5,8,13,130,73,13
5,9,14,113,73,13
5,10,13,113,73,13
5,11,13,132,73,13
5,12,14,130,73,13
5,13,14,105,73,13
5,14,14,118,73,13
5,15,14,101,73,13
5,16,13,99,73,13
5,17,14,116,73,13
5,18,14,132,73,13
5,19,13,122,73,13
5,20,14,104,73,13
5,21,13,110,73,13
5,22,14,110,72,13
5,23,14,135,73,13
5,24,13,144,72,13
5,25,13,163,72,13
5,26,14,163,72,13
5,27,14,163,72,13
5,28,12,163,72,13
5,29,14,162,72,13
5,30,14,162,72,13
5,31,13,161,72,13
5,32,14,161,72,13
5,33,14,142,72,13
5,34,13,161,72,13
5,35,14,161,72,13
5,36,13,160,72,13
5,37,14,140,72,13
5,38,14,139,72,13
5,39,14,139,72,13
5,40,14,157,72,13
5,41,13,156,72,13
5,42,14,157,72,13
5,43,14,156,72,13
5,44,14,155,72,13
5,45,13,155,72,13
5,46,14,154,72,13
5,47,13,154,72,13
5,48,14,135,72,13
5,49,14,153,72,13
5,50,13,171,72,13
5,51,14,152,72,13
5,52,13,152,72,13
5,53,14,151,71,13
5,54,13,169,71,13
5,55,14,131,71,13
5,56,13,131,71,13
5,57,13,149,71,13
5,58,14,149,71,13
5,59,13,148,71,13
5,60,14,148,71,13
5,61,13,129,71,13
5,62,14,147,71,13
5,63,14,128,71,13
5,64,14,128,71,13
5,65,14,127,71,13
5,66,14,126,71,13
5,67,14,144,71,13
5,68,14,125,71,13
5,69,13,124,71,13
5,70,14,124,71,13
5,71,13,142,71,13
5,72,14,159,71,13
5,73,14,141,71,13
5,74,14,140,71,13
5,75,14,140,71,13
5,76,14,121,71,13
5,77,14,121,71,13
5,78,13,120,71,13
5,79,14,121,71,13
5,80,14,137,71,13
5,81,14,118,71,13
5,82,14,136,71,13
5,83,14,135,71,13
5,84,14,117,71,13
5,85,13,135,71,13
5,86,14,134,71,13
5,87,14,133,71,13
5,88,14,133,71,13
5,89,14,115,70,13
5,90,13,113,71,13
5,91,14,131,71,13
5,92,13,130,70,13
5,93,14,114,70,13
5,94,14,113,71,13
5,95,14,111,70,13
5,96,14,110,70,13
5,97,14,110,70,13
5,98,14,109,70,13
5,99,14,126,70,13
5,100,14,125,70,13
5,101,14,125,70,13
5,102,14,124,70,13
5,103,14,105,70,13
5,104,14,122,70,13
5,105,14,105,70,13
5,106,14,104,70,13
5,107,14,121,70,13
5,108,14,102,70,13
5,109,14,102,70,13
5,110,14,118,70,13
5,111,14,101,70,13
5,112,14,117,70,13
5,113,14,100,70,13
5,114,14,99,70,13
5,115,13,99,70,13
5,116,13,99,70,13
5,117,14,98,70,13
5,118,14,97,70,13
5,119,14,111,70,13
5,120,13,111,70,13
5,121,14,97,69,13
5,122,13,109,70,13
5,123,13,96,69,13
5,124,14,96,69,13
5,125,14,96,69,14
5,126,14,95,69,13
5,127,14,95,69,13
5,128,13,95,69,13
5,129,13,94,69,13
5,130,13,120,69,13
5,131,13,103,69,13
5,132,14,93,69,13
5,133,14,102,69,14
5,134,14,93,69,13
5,135,13,117,69,13
5,136,13,92,69,14
5,137,13,99,69,13
5,138,14,99,69,13
5,139,14,99,69,13
5,140,14,91,69,13
5,141,14,90,69,14
5,142,13,90,69,14
5,143,14,97,69,14
5,144,14,89,69,13
5,145,13,96,69,13
5,146,13,96,69,14
5,147,14,88,69,14
5,148,14,88,69,14
5,149,14,95,69,14
5,150,14,87,69,14
5,151,14,94,69,14
5,152,14,87,69,14
5,153,14,86,69,14
5,154,13,86,69,14
5,155,14,93,69,14
5,156,14,85,69,14
5,157,14,92,69,14
5,158,14,85,69,14
5,159,13,85,69,14
5,160,14,91,69,14
5,161,14,84,69,14
5,162,13,84,69,14
5,163,14,83,69,14
5,164,13,90,69,14
5,165,13,90,69,14
5,166,14,82,69,14
5,167,13,89,69,14
5,168,13,82,69,14
5,169,13,89,69,14
5,170,13,81,69,14
5,171,13,81,69,14
5,172,14,80,69,14
5,173,14,88,68,14
5,174,14,80,68,14
5,175,13,87,68,14
5,176,13,79,68,14
5,177,13,79,68,14
5,178,14,79,68,14
5,179,13,79,68,14
5,180,14,85,68,14
5,181,14,78,68,14
5,182,14,85,68,14
5,183,14,84,68,14
5,184,13,84,68,14
5,185,13,84,68,14
5,186,14,83,68,14
5,187,14,83,68,14
5,188,14,76,68,14
5,189,14,82,68,14
5,190,14,89,68,14
5,191,14,82,68,14
5,192,13,82,68,14
5,193,14,74,68,14
5,194,14,74,68,14
5,195,13,81,68,14
5,196,14,74,68,14
5,197,14,74,68,14
5,198,14,80,68,14
5,199,14,79,68,14
5,200,14,73,68,14
5,201,14,72,68,14
5,202,14,72,68,14
5,203,14,71,68,14
5,204,14,71,68,14
5,205,14,71,68,14
5,206,14,70,68,14
5,207,14,77,68,14
5,208,14,70,68,14
5,209,14,69,68,14
5,210,14,69,68,14
5,211,14,75,68,14
5,212,14,75,68,14
5,213,14,68,68,14
5,214,14,74,68,14
5,215,14,74,68,14
5,216,14,67,68,14
5,217,14,67,68,14
5,218,14,67,68,14
5,219,14,72,68,14
5,220,14,66,68,14
5,221,15,72,68,14
5,222,14,66,67,14
5,223,15,66,68,14
5,224,14,70,68,14
5,225,15,70,68,14
5,226,14,64,68,14
5,227,14,69,68,14
5,228,14,69,68,14
5,229,15,69,67,14
5,230,15,63,67,14
5,231,14,68,67,14
5,232,15,68,67,14
5,233,15,62,67,14
5,234,15,67,67,14
5,235,15,61,67,14
5,236,14,66,67,14
5,237,14,62,67,14
5,238,14,67,67,14
5,239,15,66,67,14
5,240,14,65,67,14
5,241,15,66,67,14
