nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
r6xsp!+
\\x00
\\x9c\\x0cppL\\x0c\\x8epL\\x0c\\x8e\\xe2L\\x0cr\\x90\\x0cp\\xe0\\xfc
e\x10\x5<%v\x99\xal1\x5>\x05\x8euw&\xa8q?
\\x9e\\x0cp\x0L\x90|4c\\x0cp\\xe0\\x8c\\x8epL\\x8e\\x9c\\x0cp\\xe0\\xfc
4,1,17,1100,49,18
6,2,17,1097,54,18
5,2,15,872,53,18
7,2,17,186,56,18
4,2,15,1102,49,18
\\x9c\\x0c\\x1cpL\\x0c\\x0cp\\x80LL\\x0#\xcc\x10\x12\x0Y\x97\x0e\xfatsc\x14L\xf3A0\x0\xe8\xfc2+
3,3,16,788,51,17
\\x9e\\x0c\\x1cpL\\x0c\\x0cp\\xe0\\x8c\\x8epL\\x8e\\x9c\\x0cp\\xe0\\xfc
4,3,17,1088,49,18
1,4,16,394,49,19
5,4,16,1055,53,17
7,4,18,185,56,18
6,5,15,1100,54,18
2,5,16,1258,52,18
4,5,16,1097,49,18
1,6,17,391,49,19
6,6\xe0==\x9c$\xc0\xf38\x1f5\x06\xdc%\xf2\x96
4,6,17,1097,49,18
7,6,18,185,56,18
1,7,17,420,49,19
6,7,16,1491,54,18
5,7,16,1052,53,17
7,7,17,184,56,18
6,8,14,1097,54,18
5,8,17,1441,53,17
1,9,17,416,49,19
2,9,16,1252,53,18
5,9,17,1050,53,17
3,10,15,784,51,17
7,9,17,184,56,18
5,10,15,1050,53,17
3,11,16,1169,51,17
1,11,17,417,49,19
6,11,15,1491,54,18
4,11,15,146\x9\xa5\xacy\x19H\xd\xc5
1,12,17,387,49,17
7,11,17,184,56,18
6,12,15,1097,54,18
4,12,17,762,49,18
5,12,15,1050,53,17
1,13,16,415,49,19
6,13,17,1097,54,18
7,12,17,184,56,18
4,13,16,1102,49,18
3,14,16,785,51,17
1,14,17,384,49,19
7,13,17,183,56,18
4,14,15,1097,49,18
5,14,15,1436,53,17
1,15,17,416,49,19
7,14,18,183,56,18
\x1f,1V`14o110:\x0=4,\xf2i7
5,15,16,1044,53,17
2,16,18,872,53,18
7,15,18,92,56,18
5,16,16,1436,53,17
1,17,17,416,49,19
2,17,15,869,53,18
7,16,17,90,56,18
6,18,16,1094,54,18
2,18,16,1247,53,18
7,17,17,183,56,18
3,19,15,1163,51,17
4,18,17,756,49,18
2,19,14,872,53,18
1,20,17,381,49,19
7,18,17,90,56,18
3,20,16,789,51,17
5,20,15,1044,53,17
7,19,17,183,56,18
6,21,14,1088,54,18
1,22,17,382,48,19
5,21,16,143\x19-\x81Z\xec\xc2W\xc4
4,21,17,760,49,18
3,22,16,789,51,17
6,22,17,1486,54,18
5,22,16,1427,53,17
2,22,15,875,53,18
3,23,16,1175,51,17
6,23,14,1486,54,18
7,22,18,88,56,18
4,23,16,1094,49,18
3,24,15,787,50,17
2,24,15,869,53,18
7,23,18,85,56,18
3,25,16,117\xf\xec\x15{I1\xd77
4,24,17,758,49,18
7,24,17,91,56,18
2,25,16,1250,53,18
3,26,16,1433,53,17
4,25,17,758,49,18
7,25,17,183,56,18
2,26,16,872,52,18
4,26,17,10\x9--\x4\xc0\xee\x964x
3,27,16,789,51,17
7,26,17,183,56,18
5,27,16,1433,53,17
1,29,17,382,49,19
2,28,16,883,53,18
5,28,15,1041,53,17
3,29,16,1169,51,17
7,28,17,85,56,18
4,29,16,1102,49,18
5,29,14,1433,53,17
3,30,15,787,51,17
2,30,17,1263,53,18
7,29,17,90,56,18
6,31,16,1483,53,18
2,31,16,872,53,18
5,31,15,1038,53,17
1,33,17,412,49,19
7,31,17,183,56,18
4,32,16,1102,49,18
6,33,15,1105,53,18
1,34,16,415,49,19
4,33,16,1483,49,18
3,34,16,78yd55$1=(
2,34,16,1258,53,18
\xf2gm\x1e^E,\xf1\x93\xa1\xf4\x020 }D~u\xa8l
4,34,18,764,49,18
3,35,16,790,51,17
6,35,16,872,53,18
7,34,17,94,56,18
5,36,16,1180,50,17
2,36,16,875,53,18
1,37,16,417,49,19
5,36,16,103\x6,=c,\xd4\x15M
3,37,16,1177,50,17
6,37,14,1488,53,18
5,37,14,1441,53,17
3,38,16,1180,51,17
2,38,16,872,53,18
6,38,15,1100,53,18
4,38,16,1113,49,18
2,39,16,877,52,18
1,40,17,385,49,19
3,40,16,1186,50,17
7,38,17,184,56,18
2,40,16,1258,52,18
3,41,16,792,50,17
7,39,18,90,56,18
3,42,15,794,50,17
6,41,15,1105,53,18
7,40,16,183,56,18
3,43,16,789,50,17
6,4\x2\xa49\x85&|\x50`\x89\xc0\xfahm)/
1,43,17,387,49,19
5,42,16,1050,53,17
3,44,15,792,50,17
4,43,15,1269,52,18
\xac\x0\x9e43,24,1100,53,18
7,42,17,183,56,18
3,45,16,1183,50,17
5,44,16,143y7\xe2\x03\xac\xda\x15|
6,44,18,1494,53,18
7,43,17,94,56,18
3,46,16,1183,50,17
1,46,17,420,49,19
2,45,16,880,52,18
7,44,16,184,56,18
5,46,16,417,49,19
2,46,16,875,52,18
3,48,16,794,51,17
1,48,17,389,48,19
2,47,17,880,52,18
4,\x94\x7.\x11\x0ft\x8a\xda$\x1\xd6\xa96kE
3,49,16,795,51,17
4,48,15,772,49,19
7,47,17,96,55,18
3,50,15,1183,51,17
4,49,16,778,49,19
2,49,16,1263,52,18
5,49,15,1044,53,17
3,51,16,1188,51,17
4,50,18,1133,49,19
2,50,16,877,52,18
5,50,16,1438,53,17
3,52,16,1191,51,17
4,51,17,777,49,19
2,51,16,1266,53,18
\xd2[h\x0YT\x6\x03\xf2\xc\xd0\xa4\\\x03\x95\xc2\xd3\x8d1S
7,50,18,183,55,18
3,53,15,1194,51,17
4,52,15,1147,49,19
5,52,16,1447,53,17
2,52,15,883,52,18
7,51,18,183,55,18
3,54,16,1194,51,17
4,53,16,1141,49,18
2,53,14,886,52,18
6,53,16,1511,53,18
7,52,18,96,55,1,17
4,54,17,1519,49,18
1,55,17,390,48,19
6,54,15,1113,54,18
7,53,17,90,55,18
3,56,14,1186,51,17
1,56,16,422,48,19
2,55,16,880,52,18
7,54,17,184,56,18
3,57,14,796,51,17
1,57,17,557,48,19
2,56,16,1269,52,18
7,55,18,95,55,18
3,58,15,796,51,17
5,57,15,1050,53,17
7,56,17,94,55,18
3,59,16,1197,51,17
1,59,17,425,48,19
7,57,16,94,56,18
3,60,16,819,51,17
2,59,16,1266,53,18
5,59,15,1055,53,17
7,58,18,94,56,18
2,60,16,1266,53,18
1,61,17,424,49,19
5,60,18,1058,53,17
3,62,15,819,51,17
2,61,16,883,53,18
B\nX\x06MFs\x86X\x1dV52,53,17
6,61,15,1125,54,18
3,63,15,1197,51,17
5,62,15,1452,53,17
7,61,17,184,56,18
6,62,15,1516,54,18
7,62,18,92,56,18
2,64,16,880,53,18
1,65,17,429,49,19
6,63,16,1519,54,18
5,64,15,1447,53,17
4,65,16,1269,53,18
7,63,17,92,56,18
6,64,17,1522,54,18
1,66,17,428,49,19
2,66,14,888,53,18
5,65,15,1452,53,17
7,64,18,95,56,18
6,65,16,1522,54,18
1,67,17,427,49,19
5,66,16,1450,53,17
7,65,18,184,56,18
6,66,15,1516,54,18
1,68,17,425,49,19
4,69,17,782,50,18
5,67,16,14,56,18
2,68,16,886,53,18
1,69,17,429,49,19
6,67,15,1522,54,18
7,67,17,95,56,18
5,68,16,1055,53,17
2,69,16,891,52,18
1,70,16,396,49,19
5,69,15,1058,53,17
2,70,16,1269,52,18
3,71,17,827,50,17
6,69,18,15R\xf4\xe0\x909E\x02\xcg
5,70,16,65535,53,17
4,73,15,1155,49,18
1,72,17,400,49,19
\x2\x6\xfc\xa\xa!\xf\x91\x1\xf4\x6S25,54,18
5,71,15,1058,53,17
4,74,16,1161,49,19
1,73,16,400,49,19
7,71,17,184,56,18
5,72,16,65535,53,17
4,75,17,784,49,19
1,74,17,400,50,19
3,74,16,833,50,17
4,76,16,784,49,19
5,73,16,1058,53,17
6,73,16,1519,54,18
3,75,16,836,50,17
2,75,16,1263,52,18
4,77,17,1161,49,19
6,74,14,65535,54,18
2,76,16,1266,52,18
7,74,17,89,56,18
6,75,16,1125,54,18
5,75,15,1450,53,17
7,75,17,92,56,18
4,79,17,1158,49,19
3,78,16,830,50,17
5,76,15,1447,53,17
7,76,17,184,56,18
2,78,16,880,52,18
1,79,17,430,49,19
5,77,15,1052,5,18
6,78,1\xf7l5\xf9k3\xd8V\x10\x1f\x11K\xd6
4,81,17,782,49,19
