nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
5,1,15,1586,62,16
\\x9e\\x0cppL\\x0c\\x8ep\\xcc\\x8e\\x92\\xcc\\x8ep\\xcc\\x8e\\x8e\\x0cp\\x92\\xfc
5,2,17,65535,62,16
\\x9e\\x0c\\x1cpL\\xcc\\x1cp\\x8c\\x8e\\x80L\\x8ep\\xcc\\x8e\\x8e\\x0cp\\x92\\xfc
3,1,18,65535,62,16
\\x9e\\x0c\\x1cpL\\x0c\\x8ep\\xcc\\x8e\\x9c\\x8c\\x1cp\\xcc\\x8e\\x8e\\x0cp\\x92\\xfc
4,1,15,1236,64,16
5,2,18,65535,58,16
\\x9e\\x0c\\x8epLL\\x8ep\\x8c\\x8e\\x80\\xcc\\x8ep\\xcc\\x8e\\x8e\\x0cp\\x92\\xfc
4,2,13,65535,64,16
\\x82\\x0c\\x8epL\\xcc\\x8epLL\\x8c\\x8ep\\x8c\\x8e\\x9e\\x0cp\\x9c\\xfc
3,3,18,1313,58,16
6,2,14,1405,69,16
4,3,15,1238,64,16
\\x82\\x0crpL\\xcc\\x8ep\\x8c\\x8e\\x92L\\x8e\\x8eL\\x8ep\\x8c\\x8e\\x9e\\x0cp\\x9c\\xfc
\xe2\xe7=\x86\xa|$j(131\x99%<\x0\x7f\xec\xa3S
\\x9e\\x0c\\x8epLL\\x8ep\\x8c\\x8e\\x80\\xcc\\x8ep\\xcc\\x8e\\x8e\\x0cp\\x92\\xfc
2,3,18,1563,63,17
7,7,15,763,73,15
4,5,13,65535,65,16
6,5,16,1416,69,16
3,6,18,1322,58,16
4,6,15,1238,65,16
2,5,17,65535,64,17
3,7,18,1311,58,16
7,9,13,762,73,15
2,6,17,1558,64,17
3,8,18,65535,58,16
5,10,16,65535,62,16
7,10,15,604,73,15
3,9,18,1322,58,16
6,8,17,65535,69,16
1,10,16,908,67,16
5,11,16,65535,62,16
4,9,17\xac5z\x41,\x96\x0c&16
6,9,16,65535,69,16
1,11,16,908,66,16
7,12,15,603,73,15
4,10,15,1238,65,16
6,10,15,1400,69,16
\\x82\\x0cp\\x8c\\x0cp
\\x82\\x0cp\\x8c\\x0cp\\x9c\\x0cp\\x8cL\\xcc\\x8\xd5\xc0\x86[\x0e8\xfcq\xaa,P4\xe1\x89\xfa\xe8\x1d\x06\x19\xc4\xcf\xfe\xc3L\x9f=\xd9\x84
6,11,18,1413,69,16
7,14,15,756,73,15
4,12,13,65535,65,16
2,11,17,1563,63,17
7,15,15,604,73,15
1,14,15,1300,62,16
6,13,16,65535,69,16
2,12,17,1561,64,17
