nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
2,1,18,1563,63,17
2,2,17,65535,63,17
2,3,18,1563,63,17
2,4,18,1558,63,17
2,5,17,65535,64,17
2,6,17,1558,64,17
2,7,15,65535,63,17
2,8,15,1561,63,17
2,9,16,1566,63,17
2,10,17,65535,64,17
2,11,17,1563,63,17
2,12,17,1561,64,17
2,13,17,1566,64,17
2,14,18,1569,63,17
2,15,17,65535,63,17
2,16,16,65535,63,17
2,17,17,65535,64,17
2,18,17,1566,64,17
2,19,17,1561,64,17
2,20,16,1563,64,17
2,21,16,65535,63,17
2,22,18,65535,63,17
2,23,17,1566,63,17
2,24,17,65535,63,17
2,25,17,1572,63,17
2,26,17,65535,63,17
2,27,17,65535,63,17
2,28,17,65535,63,17
2,29,18,65535,63,17
2,30,16,65535,63,17
2,31,16,1563,63,17
2,32,17,65535,63,17
2,33,17,1561,63,17
2,34,18,1566,63,17
2,35,17,65535,63,17
2,36,16,65535,63,17
2,37,17,65535,63,17
2,38,16,1563,63,17
2,39,19,1558,62,17
2,40,17,1563,63,17
2,41,18,1555,62,17
2,42,18,1566,62,17
2,43,18,1563,62,17
2,44,18,65535,62,17
2,45,19,1561,62,17
2,46,17,1563,62,17
2,47,17,1566,62,17
2,48,18,65535,62,17
2,49,18,1566,61,17
2,50,18,1561,61,17
2,51,18,65535,61,17
2,52,18,65535,61,17
2,53,18,65535,61,17
2,54,17,1561,61,17
2,55,17,1563,60,17
2,56,18,1561,60,17
2,57,18,1555,61,18
2,58,18,65535,60,17
2,59,17,1563,60,17
2,60,18,1566,61,18
2,61,19,65535,62,18
2,62,19,1561,62,18
2,63,18,65535,61,18
2,64,18,1561,62,18
2,65,18,1566,62,18
2,66,19,65535,62,18
2,67,18,1563,62,18
2,68,18,65535,62,18
2,69,17,65535,62,18
2,70,19,1563,63,18
2,71,17,65535,63,18
2,72,19,1558,63,18
2,73,16,65535,63,18
2,74,18,1561,62,18
2,75,18,1555,62,18
2,76,18,65535,62,18
2,77,17,65535,62,18
2,78,17,65535,62,18
2,79,17,1569,61,18
2,80,18,65535,61,18
2,81,17,1561,60,18
2,82,18,1558,60,18
2,83,18,1561,60,18
2,84,17,1558,60,18
2,85,18,1561,60,18
2,86,19,65535,60,18
2,87,17,65535,60,18
2,88,18,1558,60,18
2,89,17,65535,60,18
2,90,17,1566,61,18
2,91,18,1561,61,18
2,92,18,1555,60,18
2,93,18,1558,60,18
2,94,16,65535,60,18
2,95,17,1561,60,18
2,96,16,65305,60,18
2,97,18,65535,60,18
2,98,16,65535,60,18
2,99,17,65535,60,18
2,100,18,1561,60,18
2,101,18,65535,59,18
2,102,17,1558,59,18
2,103,17,65535,59,18
2,104,18,65535,59,19
2,105,18,1558,59,19
2,106,18,65535,59,19
2,107,17,1558,58,19
2,108,17,1561,58,19
2,109,16,1563,58,19
2,110,18,65535,58,19
2,111,17,65535,58,19
2,112,19,1555,58,19
2,113,18,65535,58,19
2,114,18,1558,58,19
2,115,18,65535,58,19
2,116,18,1566,57,19
2,117,17,1561,57,19
2,118,18,1550,57,19
2,119,18,1558,57,19
2,120,18,65535,57,19
2,121,18,1563,58,19
2,122,18,1558,58,19
2,123,18,1558,58,19
2,124,18,65535,58,19
2,125,18,65535,58,19
2,126,17,1555,58,19
2,127,19,65535,58,19
2,128,18,65535,58,19
2,129,17,1561,58,19
2,130,17,65535,58,19
2,131,18,65535,58,19
2,132,19,1563,58,19
2,133,17,1561,58,19
2,134,18,65535,58,19
2,135,19,65535,58,19
2,136,18,65535,58,19
2,137,19,65535,58,19
2,138,18,1561,58,19
2,139,18,65535,57,19
2,140,18,1561,57,19
2,141,17,65535,57,19
2,142,19,1561,57,19
2,143,18,1558,57,19
2,144,18,65535,57,19
2,145,18,1569,57,19
2,146,19,65535,57,19
2,147,19,65535,57,19
2,148,19,1563,57,19
2,149,19,1572,57,19
2,150,19,65535,56,19
2,151,18,65535,56,19
2,152,19,65535,56,19
2,153,19,1563,56,19
2,154,19,1561,56,19
2,155,19,65535,56,19
2,156,19,1561,56,19
2,157,19,65535,56,19
2,158,19,1566,56,19
2,159,19,1569,56,19
2,160,19,65535,55,19
2,161,19,1572,55,19
2,162,19,1563,55,19
2,163,16,1561,55,19
2,164,19,1566,55,19
2,165,17,1566,55,19
2,166,18,65535,54,19
2,167,18,65535,54,19
2,168,19,65535,54,19
2,169,19,1572,54,19
2,170,20,65535,54,19
2,171,17,65535,54,19
2,172,19,1566,54,20
2,173,19,65535,54,20
2,174,19,1569,54,20
2,175,17,65535,54,20
2,176,18,1575,54,20
2,177,19,1575,55,20
2,178,19,1575,55,20
2,179,19,65535,55,20
2,180,19,1577,55,20
2,181,19,65535,55,20
2,182,18,1577,55,20
2,183,19,65535,55,20
2,184,19,1575,54,20
2,185,19,65535,55,20
2,186,19,65535,55,20
2,187,19,1575,54,20
2,188,19,65535,54,20
2,189,19,65535,54,20
2,190,19,1577,54,20
2,191,18,65535,54,20
2,192,19,1569,54,20
2,193,18,1580,54,20
2,194,19,65535,54,20
2,195,18,65535,53,20
2,196,20,1575,54,20
2,197,19,1580,53,20
2,198,19,1580,53,20
2,199,17,1572,53,20
2,200,19,1580,53,20
2,201,18,1569,53,20
2,202,19,1577,53,20
2,203,19,1583,53,20
2,204,19,1577,53,20
2,205,19,65535,53,20
2,206,19,65535,54,20
2,207,19,65535,53,20
2,208,18,1580,53,20
2,209,18,65535,53,20
2,210,19,1575,53,20
2,211,19,1577,53,20
2,212,18,65535,53,20
2,213,18,1572,53,20
2,214,19,1575,53,20
2,215,19,65535,52,20
2,216,19,65535,52,20
2,217,19,65535,52,20
2,218,19,65535,52,20
2,219,18,1580,52,20
2,220,19,65535,52,20
2,221,19,1580,52,20
2,222,19,65535,52,20
2,223,19,65535,52,20
2,224,19,65535,52,20
2,225,19,65535,52,20
2,226,18,1583,52,20
2,227,18,65535,52,20
2,228,19,1575,52,20
2,229,19,65535,52,20
2,230,19,65535,52,20
2,231,19,1588,52,20
2,232,19,65535,52,20
2,233,18,65535,52,20
2,234,19,1580,52,20
2,235,19,65535,53,20
2,236,19,65535,53,20
2,237,18,1583,54,20
2,238,19,65535,54,20
2,239,19,1586,54,20
2,240,18,1583,54,20
2,241,19,65535,54,20
2,242,18,1591,54,20
2,243,18,1580,54,20
2,244,19,1580,54,20
2,245,19,65535,54,20
2,246,19,65535,54,20
2,247,19,1586,54,20
2,248,19,65535,54,20
2,249,19,1586,54,20
2,250,19,65535,54,20
2,251,18,1586,54,20
2,252,19,65535,54,20
2,253,18,65535,54,20
2,254,19,1586,54,20
2,255,20,1588,54,20
2,256,18,1591,54,20
2,257,19,1588,54,20
2,258,19,1583,55,20
2,259,19,1580,55,20
2,260,19,1588,55,20
2,261,19,65535,55,20
2,262,18,1586,55,20
2,263,18,65535,55,20
2,264,19,1580,56,19
2,265,19,1580,56,19
2,266,19,65535,56,19
2,267,19,65535,56,19
2,268,19,1583,56,19
2,269,17,65535,56,19
2,270,17,65535,56,19
2,271,17,65535,56,19
2,272,19,65535,56,19
2,273,19,65535,56,19
2,274,20,1586,56,19
2,275,17,1583,57,19
2,276,19,1583,56,19
2,277,19,1588,56,19
2,278,19,65535,56,19
2,279,19,1575,56,19
2,280,19,1588,56,19
2,281,17,65535,56,19
2,282,19,65535,56,19
2,283,19,65535,56,19
2,284,19,65535,56,19
2,285,18,65535,56,19
2,286,19,1588,56,19
2,287,20,1591,57,19
2,288,19,65535,57,19
2,289,19,1594,57,19
2,290,18,65535,57,19
2,291,19,65535,57,19
2,292,20,65535,57,19
2,293,19,65535,57,19
2,294,18,65535,57,19
2,295,19,65535,57,19
2,296,18,1588,57,19
2,297,19,1588,57,19
2,298,19,65535,57,19
2,299,18,65535,57,19
2,300,18,65535,57,19
