nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
1,2,21,39,56,20
1,3,21,38,56,20
1,4,21,38,56,20
1,5,21,39,56,20
1,6,21,38,56,20
1,7,21,39,56,20
2,1,21,44,57,19
3,1,20,36,60,20
1,8,21,39,56,20
2,2,21,42,57,19
3,2,20,37,59,20
1,9,21,39,56,20
2,3,21,41,57,19
3,3,20,35,59,20
1,10,21,38,56,20
2,4,21,41,57,19
3,4,20,35,59,20
1,11,21,37,56,20
2,5,21,41,57,19
3,5,21,36,59,20
1,12,21,38,56,20
2,6,21,45,57,19
3,6,20,35,59,20
1,13,21,38,56,20
2,7,21,40,57,19
3,7,20,34,59,20
1,14,21,38,55,20
2,8,21,44,57,19
3,8,20,36,59,20
1,15,21,36,55,20
2,9,21,48,57,19
3,9,20,36,59,20
1,16,21,37,55,20
2,10,21,39,57,19
3,10,20,36,59,20
1,17,21,38,55,20
2,11,21,42,57,19
3,11,20,36,59,20
1,18,21,37,56,20
2,12,21,43,57,19
3,12,20,37,59,20
1,19,21,38,56,20
2,13,21,43,57,19
3,13,20,36,60,20
1,20,21,38,55,20
2,14,21,47,57,19
3,14,20,37,59,20
1,21,21,37,56,20
2,15,21,47,57,19
3,15,20,37,59,20
1,22,21,37,56,20
2,16,21,42,57,19
3,16,20,36,59,20
1,23,21,36,56,20
2,17,21,42,57,19
3,17,20,37,60,20
1,24,21,36,56,20
2,18,21,46,57,19
3,18,20,36,60,20
1,25,21,37,56,20
2,19,21,46,57,19
3,19,20,36,59,20
1,26,21,36,56,20
2,20,21,42,57,19
3,20,20,37,59,20
1,27,21,37,56,20
2,21,21,42,57,19
3,21,20,37,60,20
1,28,21,37,56,20
2,22,21,42,57,19
3,22,20,37,60,20
1,29,21,36,56,20
2,23,21,42,57,19
3,23,20,37,60,20
1,30,21,37,56,20
2,24,21,42,57,19
3,24,20,36,60,20
1,31,21,37,56,20
2,25,21,46,57,19
3,25,20,38,60,20
1,32,21,36,56,20
2,26,21,42,57,19
3,26,20,37,60,20
1,33,21,38,56,20
2,27,21,42,57,19
3,27,20,37,60,20
1,34,21,36,56,20
2,28,21,46,57,19
3,28,20,37,60,20
1,35,21,38,56,20
2,29,21,47,57,19
3,29,20,37,60,20
1,36,21,37,55,20
2,30,21,43,56,20
3,30,20,37,59,20
1,37,21,38,55,20
2,31,21,47,56,19
3,31,20,37,59,20
1,38,21,38,55,20
2,32,21,47,57,20
3,32,20,36,59,20
1,39,21,37,55,20
2,33,21,47,56,19
3,33,20,37,59,20
1,40,21,37,55,20
2,34,21,47,56,20
3,34,20,37,59,20
1,41,21,37,55,20
2,35,21,43,56,20
3,35,20,36,59,20
1,42,21,37,55,20
2,36,21,47,56,20
3,36,20,36,59,20
1,43,21,37,55,20
2,37,21,43,56,20
3,37,20,36,60,20
1,44,21,37,56,20
2,38,21,42,56,20
