nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
1,1,19,131,53,19
1,2,19,131,53,19
1,3,20,114,53,19
1,4,20,114,53,19
1,5,20,113,52,19
1,6,19,129,52,19
2,1,21,152,45,22
3,1,20,124,51,22
1,7,19,114,52,19
2,2,21,170,45,22
3,2,20,109,51,22
1,8,20,128,53,19
2,3,22,154,45,22
3,3,20,126,51,22
1,9,20,131,52,19
2,4,21,175,45,22
3,4,20,111,51,22
1,10,20,115,52,19
2,5,21,179,45,22
3,5,19,127,51,22
1,11,20,132,52,19
2,6,21,163,45,22
3,6,20,127,51,22
1,12,20,133,52,19
2,7,21,180,45,22
3,7,20,112,51,22
1,13,20,117,52,19
2,8,21,163,45,22
3,8,19,128,51,22
1,14,20,133,52,19
2,9,21,163,45,22
3,9,20,128,51,22
1,15,20,118,52,19
2,10,21,163,45,22
3,10,20,113,51,22
1,16,20,134,52,19
2,11,20,180,45,22
3,11,19,129,51,22
1,17,20,118,52,19
2,12,21,181,45,22
3,12,20,129,51,22
1,18,19,135,52,19
2,13,21,180,45,22
3,13,20,129,51,22
1,19,20,135,52,19
2,14,21,179,45,22
3,14,20,114,51,22
1,20,20,119,52,19
2,15,21,162,45,22
3,15,19,114,51,22
1,21,20,136,52,19
2,16,21,180,45,22
3,16,20,115,51,22
1,22,19,121,52,19
2,17,21,180,45,22
3,17,19,114,50,22
1,23,19,137,52,19
2,18,20,162,45,22
3,18,19,114,50,22
1,24,20,153,52,20
2,19,21,162,45,22
3,19,20,130,50,22
1,25,20,137,52,19
2,20,21,179,45,22
3,20,20,129,50,22
1,26,20,122,51,20
2,21,21,161,45,22
3,21,20,114,50,22
1,27,21,122,52,20
2,22,21,161,45,22
3,22,20,113,50,22
1,28,20,138,52,20
2,23,21,178,45,22
3,23,20,112,50,22
1,29,19,138,52,20
2,24,20,177,45,22
3,24,20,113,50,22
1,30,19,122,52,20
2,25,20,159,45,22
3,25,20,113,50,22
1,31,20,137,51,20
2,26,20,159,45,22
3,26,20,113,50,22
1,32,20,122,51,20
2,27,21,158,45,22
3,27,19,113,50,22
1,33,19,121,51,20
2,28,21,176,45,22
\\x8e\\x0c\\x1c\\xe0\\x0c\\x1c\\x80\\x0cp\\x82\\xcc\\x1cpL\\x8e\\x80\\x0c\\x1c\\x8c\\xfc
1,34,20,137,51,20
2,29,20,176,45,22
3,29,20,113,50,22
1,35,19,122,51,20
2,30,21,159,45,22
3,30,20,112,50,22
1,36,19,121,51,20
2,31,20,175,45,22
3,31,20,111,50,22
1,37,19,122,51,20
2,32,21,175,45,22
3,32,20,125,50,22
1,38,20,138,51,20
2,33,21,174,45,22
3,33,19,125,50,22
1,39,20,122,51,20
2,34,21,156,45,22
3,34,20,123,50,22
1,40,19,137,51,20
2,35,21,172,45,22
3,35,20,122,50,22
1,41,20,137,51,20
2,36,21,171,45,22
3,36,19,106,50,22
1,42,19,137,51,20
2,37,21,154,45,22
3,37,19,120,50,22
1,43,19,136,51,20
2,38,21,170,45,22
3,38,19,120,50,22
1,44,20,119,51,20
2,39,21,152,45,22
3,39,19,104,50,22
1,45,20,134,51,20
2,40,21,169,45,22
3,40,19,104,50,22
1,46,20,117,51,20
2,41,21,150,44,22
3,41,19,118,50,22
1,47,19,116,51,20
2,42,21,150,45,22
3,42,20,117,50,22
1,48,19,131,50,20
2,43,21,166,44,22
3,43,19,116,50,22
1,49,19,115,50,20
2,44,20,166,45,22
3,44,20,116,50,22
1,50,20,129,50,20
2,45,20,149,44,22
3,45,19,100,50,22
1,51,20,129,50,20
2,46,20,148,44,22
3,46,20,100,50,22
1,52,20,129,50,20
2,47,21,148,45,22
3,47,20,115,50,22
1,53,20,128,50,20
2,48,21,165,44,22
3,48,20,99,50,22
1,54,21,127,50,20
2,49,20,148,44,22
3,49,20,115,50,22
1,55,20,112,50,20
2,50,20,164,44,22
3,50,20,101,50,22
1,56,19,127,50,20
2,51,20,148,44,22
3,51,20,101,50,22
1,57,19,111,50,20
2,52,21,147,44,22
3,52,19,131,50,22
1,58,20,125,50,20
2,53,21,164,44,22
3,53,20,102,50,22
1,59,19,110,50,20
2,54,20,147,44,22
3,54,20,118,50,22
1,60,21,110,50,20
2,55,21,147,44,22
3,55,20,119,50,22
1,61,20,110,50,20
2,56,21,164,44,22
3,56,19,120,50,22
1,62,20,125,49,20
2,57,21,165,44,22
3,57,19,106,50,22
1,63,20,125,50,20
2,58,21,148,44,22
3,58,20,108,50,22
1,64,21,126,49,20
2,59,21,149,44,22
3,59,19,124,50,22
1,65,20,126,49,20
2,60,20,168,44,22
3,60,19,125,50,22
1,66,20,127,49,20
2,61,20,168,44,22
3,61,20,111,50,22
1,67,19,112,49,20
2,62,20,171,44,22
3,62,20,112,50,22
1,68,20,129,49,20
2,63,21,154,44,22
3,63,19,129,50,22
1,69,20,114,49,20
2,64,21,156,44,22
3,64,19,114,50,22
1,70,19,131,49,20
2,65,21,157,44,22
