nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
\\x00
1,1,21,118,44,23
1,2,21,117,44,23
1,3,22,227,44,23
3,1,21,184,50,22
1,5,21,116,44,23
5,1,22,189,40,24
2,2,21,163,45,22
3,2,20,179,49,22
4,1,22,108,39,24
5,2,22,181,40,24
1,7,21,107,44,23
2,3,21,163,44,22
\\x8e\\x0c\\x1cp\\x8c\\x1c\\x82\\x0cp\\x9c\\x8c\\x1cp\\x0c\\x8e\\xe2\\x0c\\x1c\\x8c\\xfc
5,3,22,199,41,24
1,8,21,104,44,23
2,4,21,197,44,22
4,3,22,95,39,24
5,4,22,170,41,24
1,9,21,102,43,23
2,5,22,178,44,22
3,5,21,160,49,22
4,4,22,95,40,24
5,5,22,198,41,24
2,6,21,179,44,22
3,6,21,182,49,22
4,5,22,95,39,24
5,6,22,Q]\x11.41,74
2,7,22,165,45,22
3,7,21,164,49,23
4,6,22,103,39,24
5,7,22,196,41,24
2,8,21,184,45,22
3,8,20,164,50,23
4,7,22,102,39,24
5,8,22,150,41,24
1,12,22,216,45,23
2,9,22,183,45,22
3,9,21,162,50,23
4,8,22,94,39,24
5,9,23,148,40,24
1,13,20,214,44,23
2,10,21,183,45,22
3,10,21,162,50,23
4,9,22,101,39,24
5,10,22,194,40,24
1,14,22,209,44,23
2,11,21,183,45,22
3,11,21,162,50,23
4,10,22,100,39,24
5,11,22,134,40,24
1,15,21,96,45,23
2,12,21,181,45,22
3,12,20,178,50,23
4,11,22,93,39,24
5,12,22,192,40,24
1,16,22,92,45,23
2,13,22,181,45,22
3,13,22,160,50,23
4,12,22,99,39,24
5,13,23,191,40,24
1,17,21,92,44,23
2,14,22,163,45,22
3,14,20,177,50,23
4,13,22,93,39,24
5,14,22,124,40,24
1,18,22,200,44,23
2,15,21,164,45,22
3,15,21,177,50,23
4,14,22,111,39,24
5,15,22,190,40,24
1,20,21,85,44,23
2,16,22,181,44,22
3,16,21,177,50,23
4,15,23,98,39,24
5,16,23,117,40,25
1,22,21,194,44,23
2,17,21,180,44,22
3,17,21,177,49,23
4,16,22,98,39,24
5,17,23,189,40,25
2,18,21,163,44,22
3,18,20,158,49,23
4,17,21,98,39,24
5,18,22,188,40,25
2,19,21,163,44,22
3,19,20,158,50,23
4,18,23,92,39,24
5,19,22,103,39,25
2,20,22,162,44,22
3,20,21,175,50,23
4,19,22,92,39,24
5,20,21,100,39,25
1,26,21,74,43,23
2,21,22,162,44,22
3,21,21,175,49,23
4,20,22,91,38,24
\x5,21,22,100,39,R5
1,27,21,71,43,23
2,22,22,180,44,22
3,22,21,175,49,23
