nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
2,1,21,164,45,22
2,2,21,163,45,22
2,3,21,163,44,22
2,4,21,197,44,22
2,5,22,178,44,22
2,6,21,179,44,22
2,7,22,165,45,22
2,8,21,184,45,22
2,9,22,183,45,22
2,10,21,183,45,22
2,11,21,183,45,22
2,12,21,181,45,22
2,13,22,181,45,22
2,14,22,163,45,22
2,15,21,164,45,22
2,16,22,181,44,22
2,17,21,180,44,22
2,18,21,163,44,22
2,19,21,163,44,22
2,20,22,162,44,22
2,21,22,162,44,22
2,22,22,180,44,22
2,23,21,178,44,22
2,24,22,178,44,22
2,25,22,178,44,22
2,26,22,178,44,22
2,27,21,161,43,22
2,28,21,178,43,22
2,29,22,177,43,22
2,30,22,177,43,23
2,31,22,160,43,23
2,32,21,177,43,23
2,33,22,177,43,23
2,34,22,176,43,23
2,35,22,158,43,23
2,36,21,159,43,23
2,37,22,159,43,23
2,38,21,159,43,23
2,39,22,159,43,23
2,40,22,176,43,23
2,41,21,158,43,23
2,42,22,158,43,23
2,43,21,175,43,23
2,44,21,158,42,23
2,45,22,175,42,23
2,46,23,175,42,23
2,47,21,158,42,23
2,48,22,158,42,23
2,49,22,175,42,23
2,50,22,158,42,23
2,51,22,158,42,23
2,52,21,175,42,23
2,53,22,175,42,23
2,54,22,157,42,23
2,55,22,175,42,23
2,56,22,157,42,23
2,57,21,191,42,23
2,58,21,158,42,23
2,59,22,175,42,23
2,60,22,175,42,23
2,61,22,174,42,23
2,62,22,158,42,23
2,63,21,175,42,23
2,64,21,174,42,23
2,65,21,158,42,23
2,66,22,157,42,23
2,67,22,157,42,23
2,68,22,157,42,23
2,69,22,172,41,23
2,70,22,157,41,23
2,71,21,157,41,23
2,72,21,174,41,23
2,73,22,158,41,23
2,74,22,175,41,23
2,75,22,157,41,23
2,76,21,175,41,23
2,77,21,168,41,23
2,78,22,173,41,23
2,79,21,174,41,23
2,80,22,175,41,23
2,81,22,176,41,23
2,82,21,175,41,23
2,83,22,158,41,23
2,84,21,157,41,23
2,85,21,168,41,23
2,86,22,155,41,23
2,87,21,175,41,23
2,88,21,158,41,23
2,89,21,174,41,23
2,90,21,175,40,23
2,91,21,175,40,23
2,92,22,177,41,23
2,93,22,159,41,23
2,94,21,171,40,23
2,95,22,184,41,23
2,96,22,167,40,23
2,97,21,169,41,23
2,98,22,175,40,23
2,99,22,166,40,23
2,100,22,157,40,23
2,101,22,175,40,23
2,102,22,176,40,23
2,103,22,176,40,23
2,104,22,157,40,23
2,105,21,159,40,23
2,106,22,177,40,23
2,107,22,178,40,23
2,108,22,160,40,23
2,109,22,160,40,23
2,110,22,177,40,23
2,111,21,177,40,23
2,112,21,158,40,23
2,113,21,176,40,23
2,114,22,160,40,23
2,115,22,159,40,23
2,116,22,158,40,23
2,117,22,157,40,23
2,118,22,157,40,23
2,119,22,159,40,23
2,120,22,177,40,23
2,121,22,177,40,23
2,122,22,177,40,23
2,123,22,160,40,23
2,124,21,160,40,23
2,125,22,160,40,23
2,126,22,177,40,23
2,127,22,177,39,23
2,128,22,177,40,23
2,129,21,195,39,23
2,130,21,177,39,23
2,131,21,161,39,23
2,132,22,178,40,23
2,133,22,160,39,23
2,134,21,178,39,23
2,135,21,160,39,23
2,136,21,160,39,23
2,137,22,160,39,23
2,138,21,177,39,23
2,139,22,161,39,23
2,140,21,178,39,23
2,141,22,161,39,23
2,142,21,179,39,23
2,143,21,161,39,23
2,144,21,179,39,23
2,145,21,179,39,23
2,146,22,162,39,23
2,147,22,180,39,23
2,148,21,163,39,23
