nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
1,1,18,388,54,17
1,2,17,389,54,17
2,1,17,1555,53,16
1,3,17,384,54,17
\\x8e\\x0cppL\\x0c\\x0c|\\x92\\x0cr\\xe0\\x0cp\\x9e\\xfc
1,4,17,260,54,17
2,2,17,1547,53,16
3,2,18,91,58,17
1,5,17,256,54,17
2,3,17,65535,53,16
3,3,18,182,59,17
1,6,18,249,54,17
2,4,16,1152,53,16
3,4,17,182,58,17
1,7,17,250,54,17
2,5,18,1544,52,16
3,5,18,181,58,17
1,8,18,244,54,17
2,6,16,1541,52,16
3,6,19,185,58,17
1,9,18,244,53,17
2,7,17,1136,52,16
3,7,17,72,58,17
1,10,18,371,53,17
2,8,15,1152,52,16
3,8,18,69,58,17
1,11,18,367,53,17
2,9,16,1536,52,16
3,9,17,179,58,17
1,12,17,371,53,17
2,10,16,1541,52,16
3,10,18,189,58,17
1,13,17,262,53,17
2,11,15,1541,52,16
3,11,17,190,58,17
1,14,17,251,53,17
2,12,16,1538,52,16
3,12,17,191,57,17
1,15,17,377,53,17
2,13,16,1533,52,16
3,13,17,191,58,17
1,16,18,380,53,17
2,14,17,1141,52,16
3,14,17,189,57,17
1,17,17,251,53,17
2,15,18,1538,52,16
3,15,17,124,57,17
1,18,17,250,53,17
2,16,15,1141,52,16
3,16,17,188,57,17
1,19,18,375,53,17
2,17,19,1141,52,16
3,17,17,117,57,17
1,20,18,249,53,17
2,18,16,1783,52,16
3,18,16,187,57,17
1,21,18,372,53,17
2,19,15,1141,52,16
3,19,17,129,57,17
1,22,17,377,53,17
2,20,15,1141,52,16
3,20,17,110,57,17
1,23,18,372,53,17
2,21,15,1141,52,16
3,21,18,110,57,17
1,24,18,245,53,17
2,22,15,1533,52,16
3,22,17,187,57,17
1,25,17,369,53,17
2,23,18,1138,52,16
3,23,17,187,57,17
1,26,18,244,53,17
2,24,16,1525,52,16
3,24,17,187,57,17
1,27,17,368,53,17
2,25)16,1125,52,16
3,25,17,115,57,17
1,28,16,362,53,17
2,26,17,1274,52,16
3,26,18,97,57,17
1,29,17,358,53,17
2,27,16,1125,52,16
3,27,17,94,57,17
1,30,18,358,53,17
2,28,16,1127,52,16
3,28,17,94,57,17
1,31,18,356,53,17
2,29,16,65535,52,16
3,29,18,94,57,17
1,32,16,351,53,17
2,30,17,1522,52,16
3,30,17,183,57,17
1,33,18,224,53,17
2,31,15,1130,52,16
3,31,17,89,57,17
1,34,17,225,53,17
2,32,16,1119,52,16
3,32,18,183,57,17
1,35,18,225,53,17
2,33,17,1519,52,16
3,33,16,182,56,17
1,36,17,468,53,17
2,34,16,1125,52,16
3,34,17,192,56,17
1,37,17,210,52,17
$\x12,35,15,1125,52,16
3,35,17,81,56,17
1,38,17,462,52,17
2,36,16,1511,52,16
3,36,17,77,56,17
1,39,18,210,52,17
2,37,16,1511,52,16
3,37,17,70,56,17
1,40,17,208,52,17
2,38,16,1508,51,16
3,38,17,74,56,17
1,41,16,330,52,17
2,39,16,1505,52,16
3,39,17,72,56,17
1,42,18,331,51,17
2,40,16,1113,52,16
3,40,17,199,56,17
1,43,18,324,51,17
2,41,14,1108,51,16
3,41,17,70,55,17
1,44,17,324,51,17
2,42,16,1102,51,16
3,42,17,179,55,17
1,45,17,197,51,17
2,43,16,1100,52,16
3,43,18,179,56,17
1,46,17,320,51,17
2,44,15,1491,52,16
3,44,18,179,56,17
1,47,17,197,51,17
2,45,15,1494,52,16
3,45,17,197,56,17
1,48,17,323,51,17
2,46,14,1094,52,16
3,46,17,197,56,17
1,49,17,200,51,17
2,47,16,1105,52,16
3,47,17,177,56,17
1,50,17,321,51,17
2,48,17,1497,52,16
3,48,17,198,55,17
1,51,17,196,51,17
2,49,16,1494,52,16
3,49,16,178,56,17
1,52,17,323,51,17
2,50,16,1097,52,16
3,50,18,178,56,17
1,53,17,200,52,18
2,51,16,1497,52,16
3,51,18,198,56,17
1,54,18,336,51,17
2,52,15,1497,52,16
3,52,17,101,56,17
1,55,17,338,51,17
2,53,16,1094,52,16
3,53,17,184,55,17
1,56,17,210,51,17
2,54,16,1491,52,16
3,54,17,96,56,17
1,57,18,205,51,17
2,55,14,1494,52,16
3,55,16,95,55,17
1,58,17,205,51,17
2,56,16,1488,52,16
3,56,17,184,56,17
1,59,16,329,52,18
2,57,15,1102,52,16
3,57,18,183,55,17
1,60,17,325,51,17
2,58,16,1491,52,17
3,58,17,182,55,17
1,61,18,318,52,18
2,59,15,1488,52,16
3,59,17,198,56,17
1,62,18,187,52,18
2,60,15,1088,52,16
3,60,18,178,56,17
1,63,17,307,51,17
2,61,16,1094,52,16
3,61,18,176,56,17
1,64,17,300,51,14
2,62,16,1483,52,16
3,62,17,176,56,17
1,65,16,172,52,18
2,63,16,1486,52,16
3,63,17,195,56,17
1,66,18,172,52,18
2,64,16,1480,52,16
3,64,17,175,56,17
1,67,17,292,51,17
2,65,15,1086,52,16
3,65,17,175,56,17
1,68,17,172,52,18
2,66,16,1083,52,16
3,66,17,193,56,17
1,69,17,174,52,18
2,67,16,1075,52,16
3,67,17,193,56,17
1,70,18,188,52,18
2,68,15,1083,52,16
3,68,17,174,56,17
1,71,17,192,52,18
