nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
1,1,19,150,52,20
1,2,19,151,52,20
2,1,21,194,51,20
1,3,20,168,52,20
\\x8e\\x0cpp\\x8c\\x1c\\x80\\x0cp\\x92L\\x0cr\\x9c\\x0c\\x1c\\x80\\xfc
1,4,20,168,52,20
2,2,20,187,51,20
3,2,20,159,56,20
1,5,19,150,52,20
2,3,20,107,51,20
3,3,19,141,56,20
1,6,20,150,52,20
2,4,20,145,50,20
3,4,19,160,56,20
1,7,20,170,52,20
2,5,19,198,51,20
3,5,20,160,56,20
1,8,20,170,52,20
2,6,21,197,50,20
3,6,19,143,56,20
1,9,20,152,52,20
2,7,20,169,50,20
3,7,20,159,56,20
1,10,19,169,51,20
2,8,20,168,50,20
3,8,20,144,56,20
1,11,20,151,52,20
2,9,20,174,50,20
3,9,20,143,56,20
1,12,20,169,52,20
2,10,20,174,50,20
3,10,20,143,56,20
1,13,19,152,51,20
2,11,20,197,50,20
3,11,20,144,56,20
1,14,20,170,52,20
2,12,20,164,50,20
3,12,20,143,56,20
1,15,19,170,51,20
2,13,20,196,50,20
3,13,19,141,56,20
1,16,20,169,51,20
2,14,20,160,50,20
3,14,20,157,56,20
1,17,20,151,51,20
2,15,20,150,50,20
3,15,20,139,56,20
1,18,19,167,51,20
2,16,21,140,50,20
3,16,19,136,56,20
1,19,21,165,51,20
2,17,21,191,50,20
3,17,20,151,56,20
1,20,20,148,51,20
2,18,20,120,50,20
3,18,20,132,56,20
1,21,20,145,51,20
3,19,19,129,55,20
1,22,20,160,51,20
2,20,19,186,50,20
3,20,20,144,56,20
1,23,20,141,51,20
2,21,20,92,50,20
3,21,20,127,55,20
1,24,20,155,51,20
2,22,20,85,50,20
3,22,19,144,55,20
1,25,20,152,51,20
2,23,20,183,50,20
3,23,19,144,55,20
1,26,20,136,51,20
2,24,20,183,50,20
3,24,19,145,55,20
1,27,20,135,52,21
2,25,20,87,50,20
3,25,20,161,55,20
1,28,19,135,51,20
2,26,20,185,50,20
3,26,19,131,55,20
$\x1,29%20L136,51,20
2,27,20,96,49,20
3,27,20,147,55,20
1,30,20,153,52,21
2,28,21,186,50,20
3,28,20,147,55,20
1,31,20,137,52,21
2,29,21,102,49,20
3,29,20,148,55,20
1,32,20,155,52,21
2,30,21,104,49,20
3,30,20,131,55,20
1,33,20,155,51,21
2,31,20,108,49,20
3,31,20,131,55,20
1,34,19,156,51,21
2,32,20,111,49,20
\\x8e\\x0c\\x1c\\x8c\\x0c\\x1c\\x80\\x0cp\\x90\\x0c\\x0cr\\x92\\x0c\\x1c\\x80\\xfc
1,35,20,140,51,21
2,33,20,188,49,20
3,33,20,148,55,20
1,36,20,140,51,21
2,34,21,114,49,20
3,34,20,131,55,20
1,37,20,141,51,21
2,35,20,187,49,20
3,35,20,147,55,20
1,38,19,141,51,21
2,36,20,188,49,20
3,36,20,130,56,21
1,39,20,141,51,21
2,37,20,112,49,20
3,37,20,147,56,21
1,40,20,142,50,21
2,38,20,188,50,21
3,38,20,130,55,21
1,41,20,158,50,21
2,39,20,104,50,21
3,39,20,145,55,21
1,42,19,140,50,21
2,40,21,187,49,21
3,40,20,145,55,21
1,43,19,156,50,21
2,41,20,104,49,21
3,41,20,129,55,21
1,44,20,139,50,21
2,42,20,186,49,21
3,42,20,145,55,21
1,45,20,155,50,21
2,43,19,100,49,21
3,43,20,128,55,21
1,46,19,155,50,21
2,44,20,103,49,21
3,44,20,128,55,21
1,47,20,171,49,21
2,45,20,186,49,21
3,45,19,144,55,21
1,48,20,155,49,21
2,46,20,185,49,21
3,46,20,127,55,21
1,49,20,154,49,21
2,47,21,94,49,21
3,47,20,143,55,21
1,50,20,152,49,21
2,48,20,184,49,21
3,48,19,127,55,21
1,51,19,135,49,21
2,49,21,184,49,21
3,49,19,143,55,21
1,52,20,152,49,21
2,50,20,184,49,21
3,50,20,144,54,21
1,53,20,151,49,21
2,51,20,87,48,21
3,51,20,143,55,21
1,54,19,135,49,21
2,52,21,184,48,21
3,52,20,144,54,21
1,55,20,151,48,21
2,53,20,184,48,21
3,53,20,128,55,21
1,56,19,151,49,21
2,54,20,184,48,21
3,54,20,127,54,21
1,57,20,135,48,21
2,55,20,184,48,21
3,55,20,128,54,21
1,58,20,135,49,21
2,56,20,85,48,21
3,56,19,144,54,21
1,59,20,135,48,21
2,57,19,87,48,21
3,57,19,128,54,21
1,60,20,134,49,22
2,58,20,184,48,21
3,58,20,145,54,21
1,61,20,135,49,22
2,59,20,185,48,21
3,59,20,130,54,21
1,62,20,136,49,22
2,60,21,94,47,21
3,60,19,131,54,21
1,63,19,153,49,22
2,61,20,185,48,21
3,61,20,131,54,21
1,64,19,155,49,22
2,62,20,185,47,21
3,62,20,148,54,21
1,65,20,138,49,22
2,63,20,98,47,21
3,63,19,132,54,21
1,66,19,155,49,22
2,64,21,102,47,21
3,64,20,132,54,21
1,67,20,155,49,22
2,65,20,103,47,21
3,65,20,149,54,21
1,68,20,140,48,22
2,66,20,105,47,21
3,66,20,149,54,21
1,69,19,141,48,22
2,67,19,108,47,21
3,67,20,132,54,21
1,70,20,141,48,22
2,68,20,188,47,21
3,68,20,150,54,21
1,71,20,142,48,22
2,69,20,188,47,21
3,69,20,149,53,21
1,72,20,158,48,22
2,70,21,187,47,21
3,70,19,149,53,21
1,73,20,159,48,22
2,71,20,107,46,21
3,71,20,148,54,21
1,74,20,141,48,22
2,72,19,186,48,22
3,72,20,131,53,21
1,75,20,141,48,22
2,73,20,185,48,22
3,73,20,147,53,21
1,76,19,157,48,22
2,74,21,185,48,22
3,74,19,144,53,21
1,77,19,156,48,22
2,75,20,88,48,22
3,75,19,159,53,21
1,78,20,154,48,22
$2,7V,20,83,47,2R\xa7
3,76,19,142,53,21
1,79,20,136,48,22
2,77,20,182,47,22
3,77,19,125,53,21
1,80,19,151,47,22
2,78,21,71,47,22
3,78,19,125,53,21
1,81,20,150,48,22
2,79,21,181,47,22
3,79,20,124,53,21
1,82,20,132,47,22
2,80,21,199,47,22
3,80,20,124,53,21
1,83,20,148,47,22
2,81,20,199,47,22
3,81,20,124,53,21
1,84,19,148,47,22
2,82,20,180,47,22
3,82,20,140,53,21
1,85,20,132,47,22
2,83,20,199,47,22
3,83,19,124,53,21
1,86,19,131,47,22
2,84,20,199,47,22
3,84,20,140,54,22
