nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
4,1,20,68,53,19
4,2,20,56,53,19
4,3,19,91,53,19
4,4,20,93,53,19
4,5,20,92,53,19
4,6,20,99,52,19
4,7,21,90,52,19
4,8,19,93,52,19
4,9,20,99,52,19
4,10,20,93,51,20
4,11,20,93,51,20
4,12,20,101,50,20
4,13,20,102,50,20
4,14,20,103,49,20
4,15,20,95,49,20
4,16,20,95,48,20
4,17,19,96,48,20
4,18,20,95,49,20
4,19,20,96,48,20
4,20,20,107,48,20
4,21,20,107,48,20
4,22,20,108,48,20
4,23,20,108,48,21
4,24,20,97,48,21
4,25,20,110,48,21
4,26,20,111,48,21
4,27,20,98,48,21
4,28,20,97,47,21
4,29,20,97,47,21
4,30,19,97,47,21
4,31,19,97,47,21
4,32,20,97,47,21
4,33,19,96,47,21
4,34,19,87,46,21
4,35,20,99,46,21
4,36,20,111,46,21
4,37,19,111,46,21
4,38,20,98,46,21
4,39,19,98,45,21
4,40,19,97,45,21
4,41,19,97,45,21
4,42,19,122,46,22
4,43,20,96,45,22
4,44,20,105,46,22
4,45,20,95,46,22
4,46,20,86,46,22
4,47,19,93,45,22
4,48,19,93,45,22
4,49,19,88,45,22
4,50,20,93,45,22
4,51,19,92,45,22
4,52,20,97,45,22
4,53,19,92,45,22
4,54,20,91,45,22
4,55,20,98,45,22
4,56,20,98,45,22
4,57,20,91,44,22
4,58,20,91,44,22
4,59,20,98,44,22
4,60,20,98,44,22
4,61,20,92,44,22
4,62,20,91,44,22
4,63,20,97,43,22
4,64,20,96,43,22
4,65,19,95,43,22
4,66,20,96,43,22
4,67,20,95,43,22
4,68,19,88,43,22
4,69,20,94,43,22
4,70,20,88,43,22
4,71,20,94,43,22
4,72,20,86,43,22
4,73,20,92,44,22
4,74,19,86,44,22
4,75,20,86,43,22
4,76,20,92,43,22
4,77,19,92,43,22
4,78,20,86,43,22
4,79,20,99,42,22
4,80,20,75,42,22
4,81,20,89,43,22
4,82,20,95,43,22
4,83,20,89,43,22
4,84,20,90,43,22
4,85,20,97,43,22
4,86,20,89,43,22
4,87,19,95,42,22
4,88,19,89,42,22
4,89,19,95,42,22
4,90,19,95,42,22
4,91,20,95,42,22
4,92,19,89,42,22
4,93,19,88,42,22
4,94,19,90,42,22
4,95,19,98,42,22
4,96,20,93,42,22
4,97,20,92,42,22
4,98,20,75,42,22
4,99,20,94,42,22
4,100,20,91,42,22
4,101,20,93,41,22
4,102,19,94,42,22
4,103,19,103,42,22
4,104,19,95,42,22
4,105,20,107,41,22
4,106,19,107,41,22
4,107,19,107,41,22
4,108,20,108,42,22
4,109,20,97,42,22
4,110,19,97,42,22
4,111,19,111,42,22
4,112,19,112,42,22
4,113,19,90,42,22
4,114,19,84,42,22
4,115,20,101,42,22
4,116,19,102,41,22
4,117,20,118,41,22
4,118,19,103,41,22
4,119,20,116,42,22
4,120,20,130,41,22
4,121,20,100,41,22
4,122,20,117,41,22
