nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
3,1,20,197,48,21
3,2,20,162,48,21
3,3,21,180,48,21
3,4,20,162,48,21
3,5,21,162,47,21
3,6,21,178,47,21
3,7,20,177,47,21
3,8,20,159,47,21
3,9,21,159,47,21
3,10,20,174,46,21
3,11,20,173,47,22
3,12,21,174,47,22
3,13,21,175,47,22
3,14,20,155,47,22
3,15,20,172,47,22
3,16,20,154,46,22
3,17,20,154,46,22
3,18,20,153,46,22
3,19,20,153,46,22
3,20,20,152,46,22
3,21,21,170,46,22
3,22,20,152,46,22
3,23,21,169,46,22
3,24,20,152,46,22
3,25,20,171,46,22
3,26,20,169,45,22
3,27,20,152,45,22
3,28,20,152,45,22
3,29,20,169,45,22
3,30,20,151,45,22
3,31,20,185,45,22
3,32,20,169,45,22
3,33,20,167,45,22
3,34,21,168,44,22
3,35,20,151,44,22
3,36,21,168,44,22
3,37,20,151,44,22
3,38,20,168,44,22
3,39,21,150,44,22
3,40,21,168,44,22
3,41,21,149,43,22
3,42,20,151,44,22
3,43,20,167,44,22
3,44,20,167,43,22
3,45,21,151,43,22
3,46,21,151,44,22
3,47,19,150,43,23
3,48,21,167,43,22
3,49,20,167,43,22
3,50,21,167,43,22
3,51,20,167,43,22
3,52,20,183,43,23
3,53,20,150,43,23
3,54,21,183,43,23
3,55,21,167,43,23
3,56,20,167,43,23
3,57,20,166,43,23
3,58,21,149,43,23
3,59,21,150,43,23
3,60,20,167,43,23
3,61,20,167,43,23
3,62,20,150,43,23
3,63,20,150,43,23
3,64,20,167,43,23
3,65,20,167,43,23
3,66,20,168,43,23
3,67,20,168,42,23
3,68,21,151,42,23
3,69,20,150,42,23
3,70,20,167,42,23
3,71,20,150,42,23
3,72,20,150,42,23
3,73,19,168,42,23
3,74,20,167,42,23
3,75,20,150,42,23
3,76,19,169,42,23
3,77,20,152,42,23
3,78,20,152,42,23
3,79,20,152,42,23
3,80,20,151,42,23
3,81,21,169,42,23
3,82,20,151,42,23
3,83,20,151,42,23
3,84,20,152,42,23
3,85,20,151,42,23
3,86,20,150,42,23
3,87,21,167,42,23
3,88,19,166,42,23
3,89,21,167,42,23
3,90,20,169,42,23
3,91,20,154,42,23
3,92,20,175,42,23
3,93,20,158,42,23
3,94,21,159,42,23
3,95,20,159,42,23
3,96,21,177,42,23
3,97,19,177,42,23
3,98,20,177,42,23
3,99,20,176,42,23
3,100,21,175,42,23
3,101,20,176,42,23
3,102,20,158,42,23
3,103,20,175,42,23
3,104,20,194,42,23
3,105,20,159,42,23
3,106,20,160,42,23
3,107,20,162,42,23
3,108,19,198,42,23
3,109,20,198,42,23
3,110,20,163,42,23
3,111,20,163,42,23
3,112,20,163,42,23
3,113,20,164,42,23
3,114,20,165,42,23
3,115,21,185,42,23
3,116,21,167,42,23
3,117,20,186,42,23
3,118,20,168,42,23
3,119,21,185,42,23
3,120,20,185,42,23
3,121,20,166,42,23
3,122,21,166,42,23
3,123,20,165,42,23
3,124,20,163,42,23
3,125,20,180,42,23
3,126,20,180,42,23
3,127,20,178,42,23
3,128,21,162,42,23
3,129,21,161,42,23
3,130,20,178,42,23
3,131,20,174,42,23
3,132,21,158,42,23
3,133,20,158,42,23
3,134,20,175,42,23
3,135,20,158,42,23
3,136,20,157,42,23
3,137,21,163,42,23
3,138,20,155,42,23
3,139,21,171,42,23
3,140,20,170,42,23
3,141,21,169,42,23
3,142,21,169,42,23
3,143,20,151,42,23
3,144,21,167,42,23
3,145,20,165,41,23
3,146,21,148,41,23
3,147,21,151,41,23
3,148,20,168,42,23
3,149,21,169,41,23
3,150,21,149,41,23
3,151,21,186,41,23
3,152,20,156,41,23
3,153,21,178,41,23
3,154,20,140,41,23
3,155,21,160,41,23
3,156,20,150,41,23
3,157,20,194,41,23
3,158,20,170,41,23
3,159,20,155,42,23
3,160,21,179,42,23
3,161,21,176,42,23
3,162,20,175,42,23
3,163,21,172,42,23
3,164,21,160,41,23
3,165,20,177,42,23
3,166,21,127,41,23
3,167,21,123,41,23
3,168,21,120,41,23
3,169,21,120,41,23
3,170,19,171,41,23
3,171,20,172,41,23
3,172,20,170,41,23
3,173,20,169,41,23
3,174,20,153,41,23
3,175,20,170,41,23
3,176,20,153,41,23
3,177,20,156,41,23
3,178,21,157,41,23
3,179,21,158,41,23
3,180,21,157,41,23
3,181,21,173,41,23
3,182,20,172,41,23
3,183,21,171,41,23
3,184,20,171,41,23
3,185,20,155,41,23
3,186,20,174,41,23
3,187,21,173,41,23
3,188,21,172,41,23
3,189,20,155,41,23
3,190,20,174,41,23
3,191,21,174,41,23
3,192,20,156,41,23
3,193,20,155,41,23
3,194,20,154,41,23
3,195,20,155,41,23
3,196,20,172,41,23
3,197,20,175,41,23
3,198,20,177,41,23
3,199,20,176,41,23
3,200,20,175,41,23
3,201,21,155,41,23
3,202,20,154,41,23
3,203,20,172,41,23
3,204,20,170,41,23
3,205,20,169,41,23
3,206,21,170,41,23
3,207,20,152,41,23
3,208,21,167,41,23
3,209,20,169,41,23
3,210,20,171,41,23
3,211,20,172,40,23
3,212,20,158,41,23
3,213,21,160,41,23
3,214,20,181,41,23
3,215,20,184,41,23
3,216,20,166,41,23
3,217,20,187,41,23
3,218,20,189,41,23
3,219,20,191,41,23
3,220,20,192,41,23
3,221,20,173,41,23
3,222,20,190,41,23
3,223,21,187,41,23
3,224,20,185,41,23
3,225,21,185,41,23
3,226,20,166,41,23
3,227,20,162,41,23
3,228,20,160,41,23
