nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
\\x00
\\x00
\\x00
5,1,23,451,48,22
6,1,22,1252,44,23
7,1,23,778,43,22
2,1,20,863,47,21
3,1,21,442,53,21
4,2,22,952,41,23
6,2,22,1261,43,23
7,2,23,783,42,22
\\x00
2,2,21,888,47,21
\\x8e\\x0c\\x1cp\\x8c\\x1c\\x82\\x0c\\x8e\\x8cL\\x8epL\\x8e\\x8e\\x0c\\x1c\\x82\\xfc
4,3,21,1327,41,23
5,3,23,494,47,22
6,3,21,65535,43,23
7,3,23,1147,42,22
1,5,22,722,47,22
2,3,21,690,47,21
3,3,21,457,53,21
4,4,20,1330,41,23
6,4,21,1269,43,23
7,4,23,1158,42,22
1,6,21,590,47,22
2,4,21,916,46,21
3,4,21,463,52,21
4,5,21,980,41,23
5,5,23,563,47,22
6,5,21,65535,43,23
7,5,23,822,42,22
1,7,21,596,46,22
2,5,20,705,46,21
3,5,21,469,52,21
4,6,2\x1,994,41,23
6,6,22,65535,42,23
7,6,23,836,41,22
1,8,21,602,46,22
2,6,20,712,46,21
3,6,21,477,52,21
t,7,21,1000,41,23
6,7,22,1535,42,23
7,7,23,1103,41,23
1,9,22,607,46,22
2,7,21,972,46,21
3,7,21,482,52,21
4,8,21,1366,\x160.23
5,8,23,321,47,22
6,8,22,65535,42,23
7,8,23,1197,41,23
1,10,21,610,46,22
2,8,20,720,46,21
3,8,21,485,52,21
4,9,20,1369,40,24
5,9,24,582,47,22
6,9,23,65535,42,23
7,9,23,858,41,23
1,11,21,618,46,22
2,9,22,724,45,21
3,9,21,463,52,22
4,10,21,1011,40,20
5,10,23,457,46,22
6,10,22,1280,41,24
7,10,23,858,41,23
1,12,22,625,45,22
2,10,21,986,46,22
3,10,21,494,52,22
4,11,21,1011,40,24
5,11,23,458,46,23
6,11,21,65535,41,24
7,11,22,1211,40,23
1,13,21,632,45,22
2,11,22,983,46,22
3,11,22,468,52,22
4,12,21,1380,40,14
5,12,22,587,46,23
6,12,22,65535,41,24
7,12,23,1216,40,23
1,14,21,637,45,22
2,12,21,729,46,22
3,12,21,471,52,22
4,13,21,1013,39,24
5,13,23,590,45,23
6,13,22,65535,41,24
7,13,23,1211,40,23
1,15,21,1108,45,23
2,13,21,731,45,22
3,13,22,501,52,22
4,14,21,1377,39,24
5,14,24,589,45,23
6,14,23,1280,40,24
7,14,22,861,40,23
1,16,22,645,44,23
2,14,21,728,45,22
3,14,22,471,51,22
4,15,21\x0c3208,39,247
5,15,23,452,45,23
6,15,22,65535,40,24
7,15,23,869,40,23
1,17,21,642,44,23
